PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,americanthinker,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,cbs,cnbc,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,jacobinmag,lewrockwell,motherjones,nationalreview,nbc,npr,nypost,nytimes,observerny,pbs,pjmedia,psychologytoday,rawstory,redstate,reuters,rt,slate,spectator,techcrunch,time,townhall,truthdig,usatoday,verge,vice,vox,wapo,wsj
affirmative action,1292,11,9,2,25,4,7,65,0,1,18,0,43,12,0,71,13,16,6,43,35,0,3,10,36,43,35,25,8,1,1,11,40,80,95,29,51,1,2,18,0,57,10,0,0,70,7,0,0,0,3,33,0,6,109,104,23
racial preferences,103,0,0,1,0,0,0,4,0,0,0,0,1,1,0,7,0,0,0,1,0,0,1,0,25,4,1,1,0,0,1,1,24,2,3,2,2,0,0,3,0,1,2,0,0,7,0,0,0,0,0,3,0,0,0,2,3
admissions decisions,117,0,0,1,0,0,2,4,0,0,3,0,0,3,0,3,0,0,0,2,3,0,1,1,2,5,3,0,0,0,0,0,6,8,5,6,6,0,2,0,0,0,2,0,0,7,2,0,0,0,0,3,0,0,0,25,12
privilege,554,5,4,9,0,4,1,15,0,1,7,1,4,5,1,10,11,34,9,25,9,0,8,3,8,24,54,2,3,0,6,2,38,11,17,10,22,6,1,14,12,12,14,0,3,5,6,1,0,8,4,20,2,3,27,50,3
race based,125,0,1,0,1,1,0,2,0,0,0,0,5,0,0,6,0,3,0,25,2,0,0,2,11,7,3,0,0,0,2,0,8,4,8,1,3,0,1,0,0,3,1,0,0,5,3,0,0,0,0,1,0,0,8,4,4
consider race,138,3,0,0,0,1,4,2,0,0,3,0,1,3,0,3,0,2,0,3,1,0,0,0,3,4,7,4,1,0,0,1,3,11,20,2,0,0,4,0,0,4,0,0,0,2,0,0,0,0,0,2,0,1,19,21,3
quotas,148,1,1,1,0,0,1,17,0,0,1,0,1,1,0,4,0,7,0,8,4,0,2,3,6,3,12,1,0,0,6,0,6,15,4,3,6,0,0,7,0,4,2,0,0,1,5,0,0,2,0,0,0,0,4,9,0
consideration of race,54,2,0,0,0,0,4,2,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,1,4,7,1,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6,4,4
racial minorities,65,0,2,1,0,1,0,19,0,0,2,0,1,0,0,7,1,2,0,3,1,0,0,1,0,2,1,1,1,0,0,0,1,0,2,0,2,0,0,3,0,2,0,0,0,5,1,0,0,0,0,0,0,0,2,1,0
race into account,27,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,10,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0
admissions process,678,5,1,3,1,2,16,23,2,4,2,10,24,16,0,38,3,9,5,18,6,2,4,8,11,20,24,1,2,6,0,2,12,21,64,19,59,1,6,0,3,13,6,2,0,17,1,2,0,0,3,44,0,2,31,94,10
admissions policies,141,1,0,0,6,0,1,5,0,0,0,0,6,5,0,6,1,1,0,4,0,0,1,1,1,7,10,0,0,0,1,3,4,15,7,3,7,1,2,1,0,3,5,0,0,9,0,0,0,0,0,2,0,0,7,15,0
holistic,150,0,1,1,1,0,0,9,0,0,4,1,1,2,0,6,3,3,0,6,1,0,1,4,3,0,6,1,0,0,0,0,10,6,7,2,6,0,0,0,0,5,3,0,0,7,0,1,0,0,0,5,0,1,15,27,1
preferential treatment,62,0,0,0,0,2,4,1,0,0,3,0,1,0,0,5,0,1,0,1,0,0,1,1,9,3,4,0,0,0,0,0,2,6,2,0,0,0,0,0,0,2,4,0,0,0,1,0,0,1,0,3,0,0,1,2,2
race conscious admissions,107,0,0,0,2,0,0,4,0,0,0,0,7,1,0,1,2,1,1,3,0,0,0,0,1,1,5,0,0,0,0,0,0,9,12,2,6,0,0,0,0,3,2,0,0,7,0,0,0,0,0,3,0,0,12,21,1
take race into,20,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0
use of race,147,3,0,0,1,0,8,16,1,1,0,0,5,4,0,3,1,5,0,3,7,0,2,0,3,3,3,0,2,0,0,0,4,9,11,1,4,0,7,0,0,4,2,1,0,7,0,0,0,0,0,3,0,0,6,16,1
race neutral,79,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,0,2,1,0,0,0,0,3,1,0,1,0,0,0,0,7,5,2,2,0,0,0,0,8,2,0,0,13,0,0,0,0,0,1,0,0,7,13,2
race relations,27,0,0,0,1,0,0,3,0,0,3,0,0,0,0,2,0,0,0,1,0,0,1,1,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0
overrepresented,40,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,6,2,4,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0
racial diversity,69,0,0,2,0,0,0,4,0,1,0,0,5,1,0,5,3,2,0,5,0,0,0,0,1,0,0,1,1,0,0,0,2,3,4,0,2,1,1,1,0,3,0,0,0,0,1,0,0,0,0,2,0,0,4,14,0
racial discrimination,112,0,0,1,1,0,2,1,0,0,4,0,7,1,0,6,0,3,0,4,0,3,1,0,4,5,5,0,1,0,2,1,14,6,6,1,2,0,0,3,0,4,8,0,0,2,0,1,0,0,0,2,0,0,1,9,1
underrepresented groups,34,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,2,6,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,6,0
disparities,177,0,1,2,0,0,0,2,0,0,2,4,0,5,0,10,4,10,2,2,4,0,2,0,0,1,8,0,0,1,1,1,11,16,5,7,5,0,0,5,3,2,1,0,0,5,1,0,0,0,0,5,0,3,9,35,2
racial balance,14,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
equal protection,24,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
