PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,fox,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,newyorker,npr,nypost,nytimes,opednews,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
Black Lives Matter,4778,144,30,8,19,122,12,18,98,332,61,87,17,119,7,337,77,14,24,123,46,500,129,4,47,15,246,141,20,173,74,46,19,2,12,6,80,3,23,118,17,119,108,72,1,187,9,5,40,78,7,43,5,30,9,24,26,63,8,197,9,6,41,99,207,15
defund the police,1292,17,4,0,10,25,4,2,8,141,14,31,4,33,0,86,12,2,5,84,16,52,41,3,17,2,152,14,1,18,12,16,16,0,7,1,7,2,19,22,2,22,39,13,2,48,1,0,11,42,9,3,1,13,0,5,7,29,0,49,0,0,11,39,38,8
demonstrations,3087,119,27,3,0,125,3,7,38,164,36,72,10,103,4,142,76,4,20,50,14,341,47,3,10,6,259,119,22,150,18,17,6,4,3,5,7,0,21,137,6,89,75,52,2,20,10,2,22,27,12,45,4,11,4,4,15,9,7,144,1,5,32,71,209,17
demonstrators,3877,155,41,2,1,165,10,4,45,205,45,121,3,97,8,240,113,4,13,47,18,475,31,1,16,3,298,141,27,141,22,28,19,3,3,13,30,1,14,166,3,102,96,56,1,49,5,3,48,45,11,86,2,25,4,10,21,5,4,187,2,5,28,57,242,11
mob,843,5,8,11,16,5,0,1,8,69,8,7,3,13,0,20,3,3,11,23,8,63,41,0,28,0,86,8,0,8,34,2,0,0,4,0,1,0,9,5,4,5,36,9,1,95,0,1,5,56,0,17,1,1,2,19,3,29,0,19,0,2,1,15,11,0
protest,8048,249,62,13,7,190,17,11,93,313,71,259,37,219,7,801,120,18,46,140,95,1022,100,6,28,23,558,307,48,216,80,112,33,8,15,26,57,1,41,265,22,193,205,109,1,112,33,12,58,161,18,95,7,72,10,27,47,20,10,478,6,4,97,121,405,11
racial injustice,650,31,11,2,2,73,0,1,3,56,0,10,2,47,6,39,17,2,1,4,4,37,5,0,3,0,61,23,4,16,0,2,2,0,0,2,0,0,0,13,2,19,9,6,0,1,1,8,7,3,17,0,0,3,3,0,8,3,0,37,0,0,1,4,39,0
rally,1948,56,6,2,5,74,6,4,10,54,15,58,5,37,1,372,15,2,8,26,14,268,10,2,8,2,80,60,16,37,12,11,4,0,3,5,26,0,10,107,3,32,33,28,0,12,2,1,13,65,8,50,16,7,2,2,4,1,5,118,1,6,5,19,80,4
rioters,1641,13,9,4,2,2,2,1,2,121,4,5,2,6,0,42,3,0,2,76,2,199,146,1,61,0,193,19,1,12,41,5,0,1,12,0,0,0,35,5,3,15,31,9,0,283,0,0,4,120,0,47,0,3,2,29,0,31,1,14,0,0,1,5,12,2
riots,2359,15,14,25,15,5,9,0,18,141,7,43,2,24,0,62,3,11,19,140,13,353,137,6,68,5,233,48,4,18,63,8,1,1,10,4,12,0,32,22,10,38,39,11,0,214,3,10,27,83,1,76,1,12,0,43,1,47,0,31,1,0,8,38,71,3
anarchists,776,16,4,1,1,7,0,0,17,126,16,17,0,6,0,19,2,0,68,9,9,45,76,0,9,0,61,25,2,17,4,8,0,0,1,0,7,0,2,16,0,10,26,4,0,13,0,0,3,38,0,11,0,1,0,7,4,9,0,36,0,0,1,10,12,0
protesters,17678,632,140,22,10,448,79,30,208,765,262,575,67,435,12,1198,275,29,51,327,184,2114,238,19,73,50,1267,629,72,495,98,166,64,9,32,25,132,5,58,565,65,485,449,329,6,270,29,33,152,228,30,333,14,167,20,88,102,43,32,1124,10,11,282,402,1039,75
police brutality,4481,195,52,8,0,93,14,16,101,191,75,147,14,174,4,245,107,15,28,75,78,451,53,7,13,12,278,159,16,132,28,32,22,3,8,19,45,5,18,110,6,129,110,62,0,35,8,16,64,36,13,69,1,53,6,22,34,15,1,251,8,4,95,144,229,27
