PHRASE,TOTAL,aljazeera,alternet,americanthinker,ap,atlantic,axios,breitbart,buzzfeed,canary,cbs,cnbc,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,foreignaffairs,fox,guardian,huffingtonpost,independent,infowars,intercept,lewrockwell,motherjones,nationalreview,nbc,newyorker,npr,nypost,nytimes,opednews,pbs,pjmedia,rawstory,redstate,rt,science,slate,spectator,techcrunch,truthdig,usatoday,verge,vice,vox,wapo,wsj
climate change,25188,383,166,21,130,147,120,295,139,125,578,55,1092,1707,2056,368,623,1277,403,302,46,39,448,2655,458,496,97,91,56,559,145,838,37,585,519,529,20,62,206,616,196,87,58,93,71,25,335,797,76,181,1641,2980,77
global warming,7591,128,50,21,48,51,27,152,35,58,127,13,364,460,344,243,792,290,118,98,11,7,211,595,116,135,73,15,79,112,33,308,16,98,211,210,15,14,78,262,62,19,20,16,58,3,160,318,8,29,177,655,39
Green New Deal,2862,13,7,2,5,12,9,14,1,13,21,2,27,338,97,84,283,285,7,10,27,5,108,159,90,3,14,73,5,48,37,45,0,28,18,35,4,1,71,31,30,7,8,12,32,0,35,89,3,35,176,393,10
carbon tax,1186,0,6,0,1,11,4,2,0,5,31,0,15,34,99,4,197,25,0,29,4,2,24,96,19,1,22,43,5,29,62,27,0,23,14,26,0,0,0,14,4,12,0,4,20,0,9,18,0,6,93,141,5
carbon capture,722,2,2,0,2,5,10,2,0,2,2,1,20,51,50,9,17,17,25,23,1,0,11,83,1,10,0,62,0,12,4,9,0,7,1,11,14,4,5,12,0,0,1,1,10,3,0,29,4,2,69,115,0
the climate crisis,2427,24,35,0,7,2,2,15,22,32,19,4,184,564,88,35,17,144,7,7,1,0,9,595,8,146,4,20,0,16,3,24,13,25,7,8,5,0,5,74,11,0,0,3,5,2,45,36,18,13,54,67,0
climate breakdown,305,1,1,0,0,0,0,2,0,38,1,0,1,47,24,1,1,4,0,0,0,0,1,149,2,11,0,2,0,1,0,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,3,0,0,1,4,1,0
climate scientist,755,6,8,2,19,7,5,11,12,5,21,2,13,59,13,10,59,16,9,3,0,0,21,51,12,18,1,3,0,15,0,34,0,15,43,15,0,7,1,22,1,1,18,5,1,0,19,47,1,7,20,86,1
climate science,1185,6,5,5,0,13,9,19,8,5,20,1,25,123,37,16,42,82,0,8,0,1,12,179,30,0,4,4,8,27,6,43,2,32,12,85,0,0,6,34,8,1,20,2,3,0,6,16,0,14,58,144,1
Climate Change,2703,48,17,5,4,9,2,35,14,38,38,1,135,228,194,79,82,266,47,33,3,2,34,359,38,58,17,18,31,25,15,66,2,83,41,41,3,3,23,59,22,3,4,6,24,0,38,58,11,17,104,207,7
climate action,1314,26,8,0,1,4,8,5,19,10,8,1,39,264,242,12,2,59,6,19,1,5,5,178,8,25,2,4,0,17,0,30,1,9,12,12,0,0,2,42,3,0,3,4,4,0,17,21,8,8,45,108,1
climate emergency,1090,17,14,1,3,0,1,14,4,23,10,1,27,205,77,19,12,38,2,2,1,0,13,391,2,40,3,5,1,4,0,4,0,6,9,4,5,0,3,26,2,1,0,6,4,0,19,26,2,7,17,18,0
mitigation,561,10,9,0,0,1,0,6,1,6,4,1,16,43,111,32,13,20,4,14,2,1,5,38,7,2,1,14,0,4,3,16,0,6,10,3,1,0,4,28,1,0,1,2,0,6,6,6,0,5,71,24,3
man made,554,11,1,4,22,4,0,22,3,4,16,0,26,17,10,1,103,14,7,18,2,0,12,20,5,7,8,1,11,2,3,13,2,5,35,6,2,2,11,24,11,4,0,1,6,0,3,25,0,1,10,38,1
