PHRASE,TOTAL,aljazeera,alternet,americanconservative,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,foreignaffairs,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,time,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
peace,1349,167,8,15,23,7,1,14,24,2,4,20,5,78,77,20,80,56,6,4,10,33,14,2,69,19,153,3,5,12,4,9,14,11,19,8,31,14,6,6,0,4,17,2,2,6,13,6,1,3,11,20,60,1,28,115,0
genocide,1349,154,4,3,46,2,27,12,46,8,10,9,3,67,39,9,139,17,15,8,1,6,2,2,54,25,133,0,0,16,5,2,5,46,27,4,57,36,8,11,30,0,6,3,1,2,0,15,0,10,7,21,1,0,39,127,2
pro democracy,2810,233,3,8,34,9,11,121,285,65,14,4,59,192,14,5,29,7,14,0,138,21,64,2,93,9,357,6,12,5,1,3,2,73,48,4,80,73,20,6,5,12,87,6,20,12,7,10,2,53,10,46,0,36,82,239,4
freedom,5919,545,26,39,43,25,15,100,259,28,31,56,44,290,296,68,278,141,82,7,76,64,135,29,348,72,511,21,36,42,18,68,68,175,126,13,168,92,69,24,2,79,119,46,17,51,47,108,19,37,41,99,21,31,83,548,3
coup,1723,153,9,5,12,1,4,32,30,0,4,98,2,59,142,62,45,136,2,1,7,33,5,6,36,130,141,0,1,8,59,12,114,9,9,14,18,1,10,19,1,10,13,0,6,27,2,2,7,0,33,15,1,5,29,123,0
detention,4055,588,7,20,77,7,12,120,135,59,47,43,37,299,241,53,181,63,31,26,98,23,16,0,130,16,558,12,14,58,5,5,76,35,86,2,105,49,30,8,11,11,50,8,10,32,21,21,6,26,33,22,10,37,31,279,14
prisoners,2439,457,3,17,25,6,2,23,143,6,18,31,28,136,80,75,46,61,11,3,43,20,5,3,108,44,216,7,4,10,19,17,56,34,39,0,52,29,27,24,0,5,18,9,41,20,4,25,4,6,29,22,17,19,21,262,1
human rights violations,1369,198,6,6,23,2,4,24,47,10,21,19,11,60,103,6,54,27,24,1,6,1,23,3,89,16,123,11,8,18,10,7,24,13,28,3,22,22,14,8,6,3,10,5,4,25,5,7,5,11,7,13,14,9,5,112,12
occupation,287,40,0,4,1,3,0,2,0,0,1,5,0,2,42,6,12,10,0,0,1,0,0,5,4,21,16,0,0,13,5,4,10,4,4,4,3,0,0,1,0,4,5,0,0,2,1,1,0,0,0,0,24,0,1,24,0
liberal,826,36,3,8,0,4,0,1,9,1,1,12,1,12,26,11,53,33,2,2,4,52,11,48,16,9,69,8,3,11,18,2,7,27,8,2,13,3,16,1,1,5,6,8,2,4,2,16,10,1,17,4,0,2,7,193,1
human rights abuses,1696,149,10,14,35,6,15,30,107,41,24,20,19,89,61,15,52,20,27,6,23,6,19,2,95,21,174,4,12,19,2,2,17,31,52,0,25,29,28,7,5,6,25,11,3,20,5,28,1,4,6,31,1,15,29,171,7
violence,3680,445,26,33,57,8,3,84,120,2,39,43,26,193,232,55,192,166,13,4,18,30,15,6,136,64,415,14,11,51,31,25,85,27,74,16,79,34,20,14,18,10,76,2,7,33,20,45,12,12,67,44,6,10,85,288,0
