PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,axios,bbc,bloomberg,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,defenseone,economist,federalist,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,vice,voltairenetwork,vox,wapo,wsj
INF Treaty,1146,35,23,62,0,1,4,0,9,0,0,0,5,0,0,9,13,0,57,106,4,15,38,17,11,0,0,1,10,0,0,44,0,11,1,1,0,27,1,0,0,0,23,0,0,0,19,22,9,0,42,6,4,3,0,0,1,8,0,0,37,1,0,168,0,9,0,1,59,0,0,0,39,22,0,1,6,25,135,1
New START,1056,18,8,48,0,0,30,10,1,34,0,0,37,13,0,7,3,0,70,96,12,4,30,4,4,11,0,1,32,0,7,20,0,3,3,5,15,15,0,0,0,0,13,3,2,3,20,38,1,0,20,6,10,0,0,0,0,2,0,0,35,2,2,63,0,24,0,1,25,0,6,0,21,21,0,2,3,23,124,15
Cold War,4358,78,83,171,0,4,51,20,98,3,8,2,35,25,4,13,52,7,200,331,87,100,244,38,16,48,0,1,1,15,49,177,6,231,4,40,16,37,21,29,0,0,145,51,7,1,87,102,36,4,118,47,78,13,5,29,5,20,5,0,139,14,1,176,1,45,2,33,109,1,3,3,161,47,0,12,5,64,399,31
nuclear warheads,969,30,9,11,0,0,4,12,11,8,4,0,28,18,2,0,9,0,42,47,10,12,32,17,5,15,2,0,19,1,2,71,1,58,41,6,12,11,6,1,0,0,16,7,2,1,11,27,2,4,20,24,26,2,0,8,0,4,0,0,27,4,3,34,0,3,0,1,12,0,3,0,21,7,0,1,2,14,96,11
nuclear war,1727,26,18,34,2,0,15,7,21,0,2,1,14,6,0,11,10,0,33,289,25,16,126,13,12,18,0,0,9,3,0,64,0,184,39,37,3,14,25,4,0,2,43,24,3,0,8,16,10,2,42,19,23,5,1,20,0,0,0,0,47,2,0,57,2,36,0,4,45,0,2,1,32,11,0,20,0,71,90,5
Open Skies,512,15,35,13,1,4,0,8,0,0,0,0,4,6,0,0,4,0,23,15,4,0,11,7,1,21,0,0,19,0,1,13,4,2,15,0,4,5,0,0,0,0,4,2,2,1,9,43,4,0,20,2,6,0,0,6,0,0,0,0,40,8,1,53,0,9,0,0,9,0,1,0,0,4,0,0,0,9,44,0
Test Ban Treaty,236,6,5,9,0,0,8,0,0,0,0,0,8,2,0,0,2,0,8,20,4,8,15,4,5,12,1,0,3,0,0,6,0,8,17,2,3,3,0,0,0,0,2,0,1,1,2,1,1,0,3,4,7,0,0,2,0,0,0,0,3,2,0,4,0,2,0,0,4,0,0,0,0,0,0,3,0,0,26,9
compliance,1851,93,15,74,4,1,10,21,15,5,18,1,16,9,2,2,28,18,146,115,11,15,21,35,17,12,0,0,11,5,3,95,0,24,95,8,13,10,22,12,0,0,8,29,3,0,39,54,10,1,53,36,38,0,0,2,4,6,45,0,56,19,4,97,0,10,0,3,28,0,3,0,37,39,0,0,0,36,166,14
strategic stability,183,11,3,3,0,0,0,0,0,0,0,0,4,0,0,1,0,0,13,8,1,2,5,1,1,0,0,0,0,0,13,6,0,3,13,0,2,15,0,0,0,0,5,0,3,0,2,1,0,0,2,0,1,0,0,1,0,0,0,0,9,1,1,20,0,0,0,0,13,0,0,0,5,1,0,0,2,1,10,0
Nuclear Test Ban,122,6,2,0,0,0,0,0,0,0,0,0,5,1,0,0,2,0,8,5,3,4,2,3,1,4,1,0,0,0,0,5,0,4,7,1,1,1,0,0,0,0,2,0,1,1,1,1,1,0,1,4,4,0,0,1,0,0,0,0,2,2,0,3,0,1,0,0,5,0,0,0,0,0,0,1,0,0,16,9
