PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,peoplesdaily,pjmedia,rawstory,redstate,rt,shadowproof,slate,socialistproject,spectator,strategicculture,truthdig,usatoday,veteranstoday,vice,vox,wapo
annexation,1819,246,25,5,0,0,76,5,0,13,65,1,55,2,28,196,46,36,116,1,13,6,24,0,34,21,124,0,8,5,43,49,13,98,11,61,4,16,9,17,4,2,5,29,1,38,0,30,2,6,11,11,2,12,2,46,135
anti Israel,584,6,2,2,12,10,1,2,1,0,74,3,4,1,0,17,0,3,3,78,0,4,0,26,84,3,11,1,0,5,10,7,1,17,13,7,0,7,15,6,1,1,37,4,18,11,1,0,1,27,1,13,1,9,1,3,18
anti Palestinian,109,7,0,0,0,0,1,0,0,0,1,2,1,0,5,19,6,0,3,0,0,0,0,0,1,3,3,1,0,0,2,16,0,9,0,0,1,0,0,0,18,0,0,0,3,1,0,0,0,0,1,2,0,0,0,0,3
Apartheid Israel,104,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,94,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Arab countries,264,51,0,0,3,1,0,5,0,0,1,0,5,1,15,3,5,3,14,0,0,2,0,1,7,8,15,1,0,1,0,3,1,18,3,11,0,2,1,3,10,4,3,8,1,10,0,0,0,3,1,7,0,3,0,4,15
Arab League,161,34,2,0,1,2,0,2,0,1,1,0,2,0,2,6,6,2,7,4,0,6,0,0,6,4,4,0,0,6,1,0,2,7,0,1,0,0,2,3,3,0,1,3,0,20,0,0,0,3,2,1,0,1,0,3,1
BDS movement,744,79,6,2,3,3,1,2,0,0,7,5,35,2,3,70,11,0,25,69,2,1,1,25,56,10,27,6,0,1,26,15,1,48,14,9,4,3,4,1,1,0,30,9,21,10,2,3,9,8,0,31,8,3,1,10,21
boycott,1391,107,11,12,3,1,4,19,1,0,13,6,50,7,35,132,21,5,72,24,5,4,4,55,55,15,42,6,0,1,107,40,2,142,5,27,1,21,9,21,0,0,9,31,17,36,4,10,19,12,1,28,53,12,1,16,54
coalition,896,98,5,2,1,1,17,1,0,11,5,0,13,2,25,77,8,14,49,8,7,25,14,0,25,17,47,4,1,4,24,23,6,107,5,19,2,8,2,11,3,1,2,18,9,14,3,4,6,30,9,20,5,14,10,15,45
diplomatic,886,89,4,3,13,1,4,7,2,2,7,1,6,1,29,42,31,10,45,0,8,18,10,6,22,27,70,2,1,1,8,26,8,76,2,25,2,16,5,10,19,5,1,12,2,30,0,13,4,14,6,7,13,28,1,14,65
factions,311,59,1,0,0,0,5,1,0,0,6,0,1,0,8,17,10,2,29,4,5,4,0,0,5,9,12,1,0,2,3,5,1,55,0,2,3,2,2,2,0,1,5,2,0,8,0,2,0,1,0,3,0,5,2,4,12
fascism,179,12,1,1,1,0,0,0,0,0,3,0,14,0,1,11,4,2,21,1,2,0,0,0,5,2,13,0,0,0,5,13,2,14,0,0,0,1,0,0,16,0,1,0,0,0,0,0,3,3,8,6,1,2,0,5,5
Israel lobby,455,15,7,3,0,0,7,1,0,0,0,0,15,0,0,80,27,0,22,4,1,1,0,0,9,8,19,1,0,1,12,14,6,77,2,3,0,8,0,1,11,0,0,3,0,6,0,3,7,0,3,66,1,4,0,5,2
Jewish state,951,46,6,5,5,2,11,4,2,2,27,5,9,4,13,36,22,13,51,29,2,4,4,38,76,22,35,1,0,2,24,30,11,30,31,9,0,25,29,36,6,0,30,17,15,17,1,3,2,35,9,14,2,13,1,16,69
Joint List,183,40,0,0,3,0,20,0,0,0,5,0,1,0,18,12,0,1,8,0,0,0,0,0,2,2,6,0,0,0,4,20,0,28,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,5,2,1
occupation,3347,453,27,5,2,2,43,8,6,9,43,10,121,9,44,382,115,34,276,38,14,11,10,11,35,122,127,25,8,2,199,154,25,297,18,29,12,12,15,26,28,6,14,33,22,87,6,10,32,16,17,96,11,47,8,32,92
