PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,fox,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,newyorker,npr,nypost,nytimes,opednews,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
cops,8463,27,122,47,43,28,47,1,14,100,58,194,2,103,1,160,78,13,103,150,98,1396,77,45,33,1,524,119,45,45,64,121,33,2,43,38,85,1,125,144,13,130,1922,97,20,190,106,23,78,165,5,141,10,129,0,47,7,66,22,319,1,12,179,167,277,7
policing,7919,113,88,10,15,119,74,8,128,224,72,121,49,245,5,461,157,187,61,116,70,337,69,60,59,29,350,747,37,98,23,160,50,0,8,18,51,5,118,327,20,269,235,162,9,75,77,42,100,58,25,30,48,157,3,29,38,28,12,320,2,1,73,551,667,19
police reform,1939,26,10,2,3,55,8,6,29,80,11,39,4,89,1,189,32,7,5,76,14,111,12,10,7,6,171,43,12,39,5,32,8,0,0,1,24,12,31,58,2,58,63,25,1,28,15,3,20,14,6,15,2,23,2,6,11,21,4,119,0,1,9,96,120,7
on administrative leave,706,10,1,0,0,18,0,2,11,7,9,15,0,44,3,47,5,0,0,7,17,136,6,2,0,0,40,13,5,18,4,0,0,1,1,1,4,1,0,71,0,21,51,5,0,0,0,0,8,2,0,10,0,4,0,1,4,0,1,23,0,1,15,10,51,0
law enforcement,14989,225,196,36,30,279,58,22,116,775,158,346,14,483,11,904,307,50,72,396,222,695,317,27,105,17,1448,334,101,204,112,172,41,6,30,34,143,3,81,691,25,471,509,174,2,226,160,50,185,294,40,106,55,185,26,28,75,124,52,1050,12,13,219,448,1137,62
line of duty,607,3,0,0,0,8,0,1,11,27,0,6,0,23,1,29,0,4,3,30,5,56,4,0,0,0,115,15,6,3,3,2,1,0,2,2,0,0,3,24,0,12,48,3,0,2,2,6,8,8,0,5,1,4,0,0,0,5,0,57,0,0,3,4,51,1
officers involved in,1597,75,13,1,2,44,3,19,28,24,15,47,3,80,6,80,19,7,3,19,15,190,25,0,0,0,107,77,5,54,1,10,3,1,0,1,19,8,6,108,1,43,50,16,1,12,7,0,25,8,1,15,0,12,6,3,12,4,1,81,0,1,23,52,97,8
killed by the,225,10,4,0,0,2,1,0,1,7,2,4,0,0,0,6,1,4,3,5,3,23,4,0,3,0,6,5,2,8,2,2,8,0,0,1,6,0,2,9,2,7,5,22,0,3,1,0,5,1,0,4,0,6,1,1,1,5,0,5,0,0,3,9,10,0
police shootings,1010,7,2,7,2,21,3,5,2,18,15,10,1,10,0,26,11,7,2,16,9,41,12,5,8,13,26,33,4,16,5,20,4,0,1,3,20,0,26,54,4,28,24,29,2,13,12,0,28,10,0,4,1,17,1,7,3,8,2,88,0,0,5,115,142,2
the death of,4887,169,22,9,6,204,7,7,95,181,37,81,10,221,7,228,29,9,4,205,24,723,66,1,15,7,578,174,12,138,22,9,4,2,2,4,13,6,49,197,8,116,184,69,1,41,11,1,39,92,29,61,2,17,6,22,17,16,4,269,0,0,37,71,169,28
