PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,bloomberg,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,opednews,pbs,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,science,scientificamerican,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
wealth,11745,76,145,25,10,0,32,76,47,17,86,665,33,10,304,197,509,687,44,373,436,118,159,667,9,344,86,1,5,214,2,30,772,73,315,81,244,1,270,10,109,0,125,303,6,17,168,188,299,33,26,5,1,46,21,17,242,45,63,108,0,0,6,83,11,5,9,63,35,78,14,8,218,466,8,4,40,436,1040,184
acquisition,3254,13,9,13,0,2,6,4,43,0,44,330,5,0,35,222,201,31,1,25,21,47,11,181,1,47,5,1,2,18,0,4,166,15,3,7,7,3,6,3,4,0,9,72,0,0,30,183,74,103,2,3,0,2,5,0,23,4,66,15,0,1,1,2,1,0,3,1,2,341,0,0,6,153,28,0,9,47,245,234
banking,9796,90,113,24,0,1,36,25,36,9,191,585,14,11,202,158,442,221,10,253,111,80,58,979,1,391,13,3,10,101,6,98,990,40,212,57,125,2,223,18,52,0,45,158,35,11,97,208,269,33,17,6,6,16,34,2,153,40,219,83,0,0,0,32,3,2,4,41,24,394,3,2,67,274,1,23,22,108,913,356
bottom line,1272,2,21,2,1,0,4,5,166,1,13,63,0,0,24,67,98,54,1,35,9,15,10,42,1,7,3,0,0,30,1,1,31,3,20,6,17,0,10,1,16,0,18,31,0,0,28,32,29,20,0,0,0,5,5,0,26,7,3,3,0,1,0,9,0,0,1,4,0,10,0,0,7,73,1,0,5,31,114,23
bubble,2387,13,14,3,2,0,0,14,25,0,11,293,0,2,32,91,151,38,4,68,52,16,18,71,0,42,8,0,0,9,2,22,107,2,399,16,25,1,187,1,11,0,19,13,11,3,13,90,45,9,1,0,0,3,3,0,23,7,9,55,0,1,0,2,0,0,0,8,11,6,0,2,19,58,0,0,9,28,133,43
capitalism,1370,4,26,22,4,0,0,5,1,0,3,11,3,22,4,12,21,138,3,25,106,23,38,23,3,41,12,4,0,30,1,10,97,8,47,11,165,0,62,3,2,0,30,13,2,11,4,10,36,2,13,0,0,7,0,0,20,6,1,6,0,0,0,8,0,25,15,13,1,9,0,1,27,16,1,1,8,30,54,9
capitalist,878,2,4,6,0,0,1,6,1,0,4,26,1,25,6,14,28,37,6,6,76,16,12,23,1,29,4,3,0,11,0,5,26,7,30,4,130,1,22,4,3,0,12,5,1,2,7,14,24,9,6,0,0,3,1,0,5,6,0,3,0,0,0,2,1,19,41,4,2,21,0,0,6,9,2,1,6,39,36,11
corporate,16038,63,342,48,3,0,63,84,54,6,179,523,31,44,312,255,780,1326,56,379,420,151,244,508,12,501,72,13,8,205,39,112,687,135,246,282,422,5,190,24,173,0,204,310,13,54,148,330,540,42,38,12,1,54,134,1,484,48,221,96,0,8,17,95,8,51,23,83,1,173,3,10,191,470,11,1,51,562,1548,909
corporations,6809,24,246,26,3,0,13,41,11,3,44,81,17,21,141,45,233,1091,34,144,222,85,201,86,6,41,63,1,0,182,7,51,235,59,127,65,190,1,113,17,116,0,88,197,14,32,69,98,187,20,28,3,0,36,103,0,318,28,19,51,0,6,20,52,2,23,22,47,8,17,2,3,108,212,1,0,41,291,478,90
enterprises,938,11,9,7,1,0,0,3,1,1,25,18,1,2,16,22,27,27,1,88,20,15,9,104,1,35,8,0,4,10,1,4,28,0,12,1,27,1,16,0,0,0,17,11,0,5,6,8,23,1,2,0,9,2,1,0,18,7,25,23,0,0,0,0,0,0,0,3,2,48,0,0,2,22,1,0,4,10,105,26
equity,11254,39,101,24,0,0,18,51,140,7,184,811,13,1,165,468,440,282,3,139,109,89,59,1151,5,398,29,0,4,66,4,24,648,39,100,116,166,7,62,0,75,0,97,171,1,25,54,385,197,58,6,4,5,37,115,2,155,17,382,65,0,0,5,36,7,1,3,59,3,406,2,6,29,451,9,0,20,238,1293,734
expenditure,1103,23,8,2,1,7,2,4,2,0,11,20,3,4,1,10,59,25,1,169,11,11,11,87,0,23,5,0,0,12,0,2,126,0,21,11,40,2,3,3,5,0,14,22,0,2,9,20,16,1,0,1,0,1,6,1,14,6,31,25,1,0,1,2,0,0,9,12,3,2,0,1,6,33,1,0,4,11,109,11
financial crisis,7546,75,70,19,4,0,26,23,24,0,76,293,16,15,228,67,449,172,24,276,80,20,45,643,2,438,17,8,34,66,6,23,782,22,195,30,92,6,71,3,46,1,74,144,11,27,93,167,316,5,7,9,1,17,32,1,170,19,153,102,0,0,1,30,0,1,10,36,12,8,5,0,34,231,0,0,20,147,771,382
investing,6978,15,18,6,2,0,3,8,15,7,89,1043,6,9,76,325,347,121,4,103,32,46,34,1099,3,122,15,3,4,39,4,11,302,29,51,23,30,3,32,1,14,0,55,210,5,5,54,139,152,61,3,4,1,13,4,7,51,9,28,29,0,2,1,11,3,1,4,23,1,436,11,1,14,667,7,0,15,140,465,211
