PHRASE,TOTAL,aljazeera,alternet,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,independent,infowars,intercept,motherjones,nationalreview,nbc,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,time,townhall,usatoday,vice,vox,wapo,wsj
accusation,810,3,17,1,0,26,14,4,4,33,19,7,5,51,9,24,3,1,8,123,37,19,2,3,15,2,17,36,29,23,25,2,12,10,19,6,9,18,2,12,29,5,37,89,0
accused,5095,44,49,26,19,31,52,38,95,144,196,46,36,264,23,189,26,8,47,407,391,213,29,27,27,70,54,353,166,223,222,16,36,125,79,55,82,41,14,11,244,30,424,414,9
accuser,649,0,4,0,1,4,12,3,3,3,36,0,1,56,2,39,5,0,31,80,23,25,0,3,7,3,19,39,25,31,12,0,8,10,14,16,5,12,0,8,37,2,21,49,0
allegation,2373,18,18,5,7,10,56,13,79,67,135,8,5,107,8,119,6,10,83,323,108,38,1,4,22,26,44,146,70,45,66,3,14,24,57,8,50,26,6,32,98,17,186,202,3
alleged,3368,20,36,7,19,25,36,38,47,83,231,15,11,210,7,159,19,5,68,408,291,69,15,12,10,27,46,217,122,165,68,8,32,46,57,21,67,14,17,13,152,31,93,326,5
believe,2068,17,18,1,13,10,18,12,30,43,108,14,10,81,16,72,9,3,74,229,110,66,4,5,46,7,35,134,72,61,52,4,35,43,89,23,34,28,7,18,90,7,145,174,1
claims,3879,22,27,16,22,20,67,41,93,147,202,18,27,120,8,274,29,7,63,519,264,91,24,10,16,38,31,220,84,267,81,12,80,74,69,40,44,38,15,17,138,8,169,313,14
complaint,2775,18,30,20,12,24,31,42,80,107,163,6,26,158,6,199,18,9,23,218,172,77,8,6,13,47,19,234,88,152,55,2,30,44,39,10,41,10,8,7,142,31,81,267,2
consent,523,0,2,0,1,3,4,1,11,9,20,6,15,39,4,17,14,0,2,40,55,10,14,0,2,3,5,32,12,17,14,0,1,5,10,4,11,1,1,0,26,1,56,55,0
credible,583,1,11,2,3,0,25,0,6,11,18,17,7,12,7,10,1,0,31,67,29,12,0,1,16,4,12,24,20,11,34,2,13,17,17,3,9,13,0,2,24,7,33,51,0
