,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,pro life,4849,1,1.0,1.0
1,abortion rights,4851,1,1.0,1.0
2,anti abortion,4067,1,1.0,1.0
3,anti choice,705,1,1.0,1.0
4,abortion care,1215,1,1.0,1.0
5,pregnancy,7353,1,1.0,1.0
6,kill,676,1,1.0,1.0
7,medical abortion,208,1,1.0,1.0
8,family planning,1522,1,1.0,1.0
9,pro abortion,977,1,1.0,1.0
10,murder,778,1,1.0,1.0
11,fetus,2139,1,1.0,1.0
12,mother,2633,1,1.0,1.0
13,reproductive rights,1659,1,1.0,1.0
14,infanticide,830,1,1.0,1.0
15,abortion access,1519,1,1.0,1.0
16,abortion ban,1133,1,1.0,1.0
17,infant,981,1,1.0,1.0
18,reproductive health,1520,1,1.0,1.0
19,pro choice,1734,1,1.0,1.0
20,abortion law,937,1,1.0,1.0
21,medication abortion,479,1,1.0,1.0
22,contraception,1060,1,1.0,1.0
23,fetal heartbeat,1069,1,1.0,1.0
24,fetal remains,423,1,1.0,1.0
25,abortion services,955,1,1.0,1.0
26,born alive,720,1,1.0,1.0
27,birth control,1324,1,1.0,1.0
28,religious liberty,133,1,1.0,1.0
29,aborted,641,1,1.0,1.0
30,abortion rules,24,1,1.0,1.0
31,abortion providers,1775,1,1.0,1.0
32,reproductive justice,207,1,1.0,1.0
33,womens rights,615,1,1.0,1.0
34,dead,288,1,1.0,1.0
35,abortion clinic,1326,1,1.0,1.0
36,adoption,345,1,1.0,1.0
37,rape or incest,851,1,1.0,1.0
38,maternal,570,1,1.0,1.0
39,abortion restrictions,991,1,1.0,1.0
40,abortion pills,364,1,1.0,1.0
41,unborn babies,246,1,1.0,1.0
42,abortionists,310,1,1.0,1.0
43,fetal abnormalities,136,1,1.0,1.0
44,human life,559,1,1.0,1.0
45,heartbeat bill,642,1,1.0,1.0
46,access to abortion,1204,1,1.0,1.0
47,abortion industry,390,1,1.0,1.0
48,right to life,343,1,1.0,1.0
49,fetal defects,17,1,1.0,1.0
50,late term abortion,664,1,1.0,1.0
51,self managed abortion,122,1,1.0,0.0
52,essential,1142,1,1.0,0.0
53,elective,742,1,1.0,0.0
54,Planned Parenthood,8725,1,1.0,0.0
55,law,15818,1,1.0,0.0
56,Supreme Court,8437,1,1.0,0.0
57,bill,8945,1,1.0,0.0
58,clinic,5397,1,1.0,0.0
59,access,6517,1,1.0,0.0
60,protest,576,1,1.0,0.0
61,near total ban,217,1,1.0,0.0
62,United States,5051,1,1.0,0.0
63,ban on abortion,457,1,1.0,0.0
64,providers,3640,1,1.0,0.0
65,Joe Biden,582,1,1.0,0.0
66,human,2716,1,1.0,0.0
67,Title X,1805,1,1.0,0.0
68,Medicare for All,127,1,1.0,0.0
69,sex,1581,1,1.0,0.0
70,men,1403,1,1.0,0.0
71,moral,1033,1,1.0,0.0
72,Roe v Wade,5068,1,1.0,0.0
73,faith,876,1,1.0,0.0
74,court ruling,141,1,1.0,0.0
75,churches,138,1,1.0,0.0
76,Whole Womans Health,771,1,1.0,0.0
77,precedent,1439,1,1.0,0.0
78,mandate,418,1,1.0,0.0
