,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,affirmative action,687,1,1.0,1.0
1,racial preferences,48,1,1.0,1.0
2,admissions decisions,27,1,1.0,1.0
3,privilege,33,1,1.0,1.0
4,race based,55,1,1.0,1.0
5,consider race,56,1,1.0,1.0
6,quotas,64,1,1.0,1.0
7,consideration of race,30,1,1.0,1.0
8,racial minorities,31,1,1.0,1.0
9,race into account,18,1,1.0,1.0
10,admissions process,125,1,1.0,1.0
11,admissions policies,46,1,1.0,1.0
12,holistic,38,1,1.0,1.0
13,preferential treatment,21,1,1.0,1.0
14,race conscious admissions,49,1,1.0,1.0
15,take race into,14,1,1.0,1.0
16,use of race,59,1,1.0,1.0
17,race neutral,32,1,1.0,1.0
18,race relations,10,1,1.0,1.0
19,overrepresented,11,1,1.0,1.0
20,racial diversity,32,1,1.0,1.0
21,racial discrimination,33,1,1.0,1.0
22,factor race into,3,1,1.0,1.0
23,underrepresented groups,5,1,1.0,1.0
24,disparities,14,1,1.0,1.0
25,racial balance,9,1,1.0,1.0
26,equal protection,13,1,1.0,1.0
27,race in admissions,57,1,1.0,0.0
28,qualified,59,1,1.0,0.0
29,college admissions,131,1,1.0,0.0
30,higher education,81,1,1.0,0.0
31,professional schools,13,1,1.0,0.0
32,selective colleges,23,1,1.0,0.0
33,elite college,15,1,1.0,0.0
34,racism,36,1,1.0,0.0
35,inequality,22,1,1.0,0.0
36,academic,70,1,1.0,0.0
37,administration,121,1,1.0,0.0
38,admissions officers,38,1,1.0,0.0
39,admitted,103,1,1.0,0.0
40,applicants,310,1,1.0,0.0
41,Asian American,281,1,1.0,0.0
42,black,130,1,1.0,0.0
43,Chief Justice John,31,1,1.0,0.0
44,children,71,1,1.0,0.0
45,civil rights,59,1,1.0,0.0
46,classmates,3,1,1.0,0.0
47,college students,12,1,1.0,0.0
48,complaints,22,1,1.0,0.0
49,demographic,20,1,1.0,0.0
50,denied,39,1,1.0,0.0
51,disadvantaged,28,1,1.0,0.0
52,Education Department,22,1,1.0,0.0
53,Edward Blum,42,1,1.0,0.0
54,ethnic,58,1,1.0,0.0
55,exclusion,14,1,1.0,0.0
56,first generation,9,1,1.0,0.0
57,Florida State University,5,1,1.0,0.0
58,for Fair Admissions,107,1,1.0,0.0
59,freshman class,16,1,1.0,0.0
60,Harvard University,45,1,1.0,0.0
61,head start,11,1,1.0,0.0
62,Health Sciences Center,16,1,1.0,0.0
63,high school,26,1,1.0,0.0
64,higher standards,8,1,1.0,0.0
65,historical,13,1,1.0,0.0
66,identity,39,1,1.0,0.0
67,immigrants,32,1,1.0,0.0
68,income,46,1,1.0,0.0
69,institutions,91,1,1.0,0.0
70,Ivy League,37,1,1.0,0.0
71,less qualified,13,1,1.0,0.0
72,low income,25,1,1.0,0.0
73,mandate,6,1,1.0,0.0
74,medical school,33,1,1.0,0.0
75,minority,164,1,1.0,0.0
76,Native American,31,1,1.0,0.0
77,Obama administration,19,1,1.0,0.0
78,opportunities,36,1,1.0,0.0
79,progressive,12,1,1.0,0.0
80,public education,6,1,1.0,0.0
81,race and class,5,1,1.0,0.0
82,resentment,17,1,1.0,0.0
83,Rights Act,32,1,1.0,0.0
84,SAT score,10,1,1.0,0.0
