,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,Black Lives Matter,4778,1,1.0,1.0
1,defund the police,1292,1,1.0,1.0
2,demonstrations,3087,1,1.0,1.0
3,demonstrators,3877,1,1.0,1.0
4,mob,843,1,1.0,1.0
5,protest,8048,1,1.0,1.0
6,racial injustice,650,1,1.0,1.0
7,rally,1948,1,1.0,1.0
8,rioters,1641,1,1.0,1.0
9,riots,2359,1,1.0,1.0
10,anarchists,776,1,1.0,1.0
11,protesters,17678,1,1.0,1.0
12,peaceful,4480,1,1.0,0.0
13,tear gas,3552,1,1.0,0.0
14,accountability,2523,1,1.0,0.0
15,activists,3070,1,1.0,0.0
16,African Americans,1187,1,1.0,0.0
17,agency,2327,1,1.0,0.0
18,agents,3694,1,1.0,0.0
19,allegations,1825,1,1.0,0.0
20,apartment,2879,1,1.0,0.0
21,arrested,8693,1,1.0,0.0
22,attorney,6823,1,1.0,0.0
23,bias training,353,1,1.0,0.0
24,black Americans,711,1,1.0,0.0
25,Black man,1079,1,1.0,0.0
26,black man,3841,1,1.0,0.0
27,black people,2028,1,1.0,0.0
28,body camera,1821,1,1.0,0.0
29,Border Patrol,308,1,1.0,0.0
30,Breonna Taylor,1861,1,1.0,0.0
31,bystander,722,1,1.0,0.0
32,capture,279,1,1.0,0.0
33,charges,8669,1,1.0,0.0
34,Chicago police,812,1,1.0,0.0
35,children,2880,1,1.0,0.0
36,citizens,2608,1,1.0,0.0
37,city,19487,1,1.0,0.0
38,civilian,1383,1,1.0,0.0
39,community,11288,1,1.0,0.0
40,companies,465,1,1.0,0.0
41,complaint,2074,1,1.0,0.0
42,consent,1181,1,1.0,0.0
43,conservative,749,1,1.0,0.0
44,cop,4461,1,1.0,0.0
45,County police,391,1,1.0,0.0
46,Courier Journal,350,1,1.0,0.0
47,court,5657,1,1.0,0.0
48,crime,9361,1,1.0,0.0
49,criminal charges,1067,1,1.0,0.0
50,criminal justice,2094,1,1.0,0.0
51,curfew,1990,1,1.0,0.0
52,custody,4955,1,1.0,0.0
53,de Blasio,2500,1,1.0,0.0
54,death of George,3124,1,1.0,0.0
55,degree murder,1903,1,1.0,0.0
56,department,14791,1,1.0,0.0
57,died,7754,1,1.0,0.0
58,drug,2906,1,1.0,0.0
59,excited delirium,153,1,1.0,0.0
60,facial recognition,879,1,1.0,0.0
61,far right,419,1,1.0,0.0
62,fatal shooting,1108,1,1.0,0.0
63,federal agents,1540,1,1.0,0.0
64,federal officers,1406,1,1.0,0.0
65,felony murder,525,1,1.0,0.0
66,fired,10204,1,1.0,0.0
67,Floyds death,4404,1,1.0,0.0
68,forfeiture,196,1,1.0,0.0
69,funding,1934,1,1.0,0.0
70,George Floyd,10055,1,1.0,0.0
