,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,privacy,7946,1,1.0,1.0
1,tariffs,40341,1,1.0,1.0
2,China trade,3699,1,1.0,1.0
3,economic development,1347,1,1.0,1.0
4,rivalry,1217,1,1.0,1.0
5,academia,721,1,1.0,1.0
6,Hunter Biden,4260,1,1.0,1.0
7,empowering,525,1,1.0,1.0
8,rising tensions,441,1,1.0,1.0
9,unilateral,1836,1,1.0,1.0
10,white paper,346,1,1.0,1.0
11,manufacturing,16289,1,1.0,1.0
12,human rights,15564,1,1.0,1.0
13,regime,18307,1,1.0,0.0
14,socialist,5471,1,1.0,0.0
15,truth about China,903,1,1.0,0.0
16,United States,352334,1,1.0,0.0
17,novel coronavirus outbreak,20310,1,1.0,0.0
18,Goldman Sachs,2152,1,1.0,0.0
19,South Korea,25897,1,1.0,0.0
20,Hong Kong,83826,1,1.0,0.0
21,North Korea,31045,1,1.0,0.0
22,corporate,12897,1,1.0,0.0
23,global,85966,1,1.0,0.0
24,Joe Biden,18341,1,1.0,0.0
25,broadband,889,1,1.0,0.0
26,weapons,23913,1,1.0,0.0
27,Mr Trump,9840,1,1.0,0.0
28,US China trade,1453,1,1.0,0.0
29,tech,21155,1,1.0,0.0
30,disease,52542,1,1.0,0.0
31,dump,1053,1,1.0,0.0
32,longstanding,1369,1,1.0,0.0
33,JPMorgan Chase,683,1,1.0,0.0
34,surpass,794,1,1.0,0.0
35,temper,507,1,1.0,0.0
36,historical,5187,1,1.0,0.0
37,infected,39573,1,1.0,0.0
38,financial,36785,1,1.0,0.0
39,mental health,3106,1,1.0,0.0
40,mainstream,5739,1,1.0,0.0
41,technology,34071,1,1.0,0.0
42,World Cup,6711,1,1.0,0.0
43,Central Committee,615,1,1.0,0.0
44,foreign policy,14932,1,1.0,0.0
45,capitalist,3437,1,1.0,0.0
46,capitalism,5678,1,1.0,0.0
47,encryption,1331,1,1.0,0.0
48,climate change,15914,1,1.0,0.0
49,bond market,504,1,1.0,0.0
50,bond,3606,0,,
51,postponed,52239,0,,
52,users,13856,0,,
53,company,69545,0,,
54,war,77119,0,,
55,year,184493,0,,
56,data,55276,0,,
57,think,121550,0,,
58,military,72295,0,,
59,workers,54627,0,,
60,know,114715,0,,
61,yet,45201,0,,
62,cases,124600,0,,
63,outbreak,107362,0,,
64,billion,64158,0,,
65,novel coronavirus,30871,0,,
66,wider,4473,0,,
67,access,24768,0,,
68,countries,110904,0,,
69,banks,14261,0,,
70,crisis,63456,0,,
71,president,125126,0,,
72,cancelled,27995,0,,
73,factors,6170,0,,
74,private,27875,0,,
75,coronavirus outbreak,40266,0,,
76,million,103470,0,,
77,health,123827,0,,
78,trade,102308,0,,
79,companies,71775,0,,
80,hospital,32641,0,,
81,market,68548,0,,
82,messaging,3880,0,,
83,economic,80161,0,,
84,tell,23357,0,,
85,thus,6338,0,,
86,message,18311,0,,
87,much,108877,0,,
88,pandemic,99419,0,,
89,nuclear,48832,0,,
90,epidemic,20824,0,,
91,patients,54796,0,,
92,vaccine,28999,0,,
93,cent,19278,0,,
94,well,104029,0,,
95,business,57314,0,,
96,government,181080,0,,
97,political,82048,0,,
98,oil,38459,0,,
99,class,18677,0,,
100,dont,102432,0,,
101,get,127544,0,,
102,media,71923,0,,
103,world,145214,0,,
104,finds,18653,0,,
105,must,46416,0,,
106,campaign,63835,0,,
107,others,42105,0,,
108,even,139853,0,,
109,history,38170,0,,
110,officials,89592,0,,
111,scheduled,33867,0,,
112,climate,33611,0,,
113,really,63257,0,,
114,election,51451,0,,
115,medical,46198,0,,
116,international,55717,0,,
117,summit,14596,0,,
118,week,96613,0,,
119,security,66737,0,,
120,see,82304,0,,
121,sales,19946,0,,
122,galaxy,7576,0,,
123,masks,39585,0,,
124,last,134319,0,,
125,economy,76316,0,,
126,audio,3304,0,,
127,right,92657,0,,
128,shared,14679,0,,
129,jobs,29132,0,,
130,weighed,2087,0,,
131,prevention,3517,0,,
132,deaths,46734,0,,
133,working,53249,0,,
134,care,55767,0,,
135,address,18229,0,,
136,user,5256,0,,
137,stunning,2536,0,,
138,US China,3008,0,,
139,South Koreas,3707,0,,
140,social,65467,0,,
141,power,60896,0,,
142,weigh,1842,0,,
