,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,equal rights,13,1,1.0,0.0
1,evangelical,223,1,1.0,0.0
2,extremism,27,1,1.0,0.0
3,extremist,31,1,1.0,0.0
4,hate group,19,1,1.0,0.0
5,anti Catholic,53,1,1.0,1.0
6,anti discrimination,25,1,1.0,1.0
7,Bible literacy,26,1,1.0,1.0
8,Blaine amendments,27,1,1.0,1.0
9,Blaine Amendments,44,1,1.0,1.0
10,Christian nationalism,67,1,1.0,1.0
11,collective worship,13,1,1.0,1.0
12,dogma,37,1,1.0,1.0
13,employment discrimination,27,1,1.0,1.0
14,Establishment Clause,153,1,1.0,1.0
15,establishment clause,58,1,1.0,1.0
16,faith based,128,1,1.0,1.0
17,free exercise,159,1,1.0,1.0
18,Freedom Restoration Act,27,1,1.0,1.0
19,ideology,43,1,1.0,1.0
20,non religious,46,1,1.0,1.0
21,organized religion,11,1,1.0,1.0
22,persecution,85,1,1.0,1.0
23,religious believers,29,1,1.0,1.0
24,religious duties,26,1,1.0,1.0
25,religious freedom,447,1,1.0,1.0
26,religious groups,109,1,1.0,1.0
27,religious institutions,152,1,1.0,1.0
28,religious symbols,63,1,1.0,1.0
29,religious tests,16,1,1.0,1.0
30,sectarian,74,1,1.0,1.0
31,secular,525,1,1.0,1.0
32,secularists,49,1,1.0,1.0
33,Project Blitz,167,1,1.0,1.0
34,Espinoza v Montana,45,1,1.0,1.0
35,freedom of religion,87,1,1.0,1.0
36,separation of church,159,1,1.0,1.0
37,the Christian Right,24,1,1.0,1.0
38,the First Amendment,315,1,1.0,1.0
39,the Johnson Amendment,37,1,1.0,1.0
40,the Lemon test,27,1,1.0,1.0
41,the ministerial exception,58,1,1.0,1.0
42,the religious right,45,1,1.0,1.0
43,wall of separation,54,1,1.0,1.0
44,Religious Freedom,145,1,1.0,0.0
45,religious employers,20,1,1.0,0.0
46,Hagia Sophia,120,1,1.0,0.0
47,churches,553,1,1.0,0.0
48,government,1277,1,1.0,0.0
49,worship,464,1,1.0,0.0
50,political,380,1,1.0,0.0
51,statute,28,1,1.0,0.0
52,Morrissey Berru,79,1,1.0,0.0
53,Hosanna Tabor,58,1,1.0,0.0
54,public schools,359,1,1.0,0.0
55,secularism,87,1,1.0,0.0
56,religious services,118,1,1.0,0.0
57,inclusive,33,1,1.0,0.0
58,Justice Department,83,1,1.0,0.0
59,institutions,268,1,1.0,0.0
60,toleration,25,1,1.0,0.0
61,private schools,174,1,1.0,0.0
62,cathedral,38,1,1.0,0.0
63,communion,31,1,1.0,0.0
64,Bible reading,50,1,1.0,0.0
65,Chief Justice Roberts,17,1,1.0,0.0
66,beliefs,290,1,1.0,0.0
67,blasphemy laws,19,1,1.0,0.0
68,Trinity Lutheran,67,1,1.0,0.0
69,Satanic Temple,32,1,1.0,0.0
70,religious school,66,1,1.0,0.0
71,United States Supreme,98,1,1.0,0.0
72,Catholic schools,61,1,1.0,0.0
73,Southern Poverty Law,17,1,1.0,0.0
74,progressive,58,1,1.0,0.0
75,church services,47,1,1.0,0.0
76,school choice,76,1,1.0,0.0
77,religious gatherings,58,1,1.0,0.0
78,Poverty Law Center,16,1,1.0,0.0
79,Flying Spaghetti Monster,15,1,1.0,0.0
80,Barrs speech,15,1,1.0,0.0
81,Orthodox Church,23,1,1.0,0.0
82,Bible class,22,1,1.0,0.0
83,coercion,32,1,1.0,0.0
84,parochial schools,31,1,1.0,0.0
85,chaplains,35,1,1.0,0.0
86,American Legion,78,1,1.0,0.0
87,liberal Protestants,17,1,1.0,0.0
88,Peace Cross,64,1,1.0,0.0
89,establishing religion,16,1,1.0,0.0
90,white Christians,14,1,1.0,0.0
91,headscarf,12,1,1.0,0.0
92,Catholic Church,46,1,1.0,0.0
93,tax credit,90,1,1.0,0.0
94,religious functions,24,1,1.0,0.0
95,Morris County,17,1,1.0,0.0
96,minorities,64,1,1.0,0.0
97,General Assembly,11,1,1.0,0.0
98,Recep Tayyip Erdogan,15,1,1.0,0.0
99,Howard Browne,29,1,1.0,0.0
100,LGBTQ people,35,1,1.0,0.0
101,Ten Commandments,53,1,1.0,0.0
102,Jehovahs Witnesses,33,1,1.0,0.0
103,Christian nationalist,38,1,1.0,0.0
104,denomination,49,1,1.0,0.0
105,religious liberties,36,1,0.0,
106,right wing,42,1,1.0,0.0
107,unconstitutional,142,1,1.0,0.0
108,civil rights,88,1,1.0,0.0
