,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,climate change,25188,1,1.0,1.0
1,global warming,7591,1,1.0,1.0
2,Green New Deal,2862,1,1.0,1.0
3,carbon tax,1186,1,1.0,1.0
4,carbon capture,722,1,1.0,1.0
5,climate breakdown,305,1,1.0,1.0
6,climate scientist,755,1,1.0,1.0
7,climate science,1185,1,1.0,1.0
8,Climate Change,2703,1,1.0,1.0
9,climate action,1314,1,1.0,1.0
10,climate emergency,1090,1,1.0,1.0
11,mitigation,561,1,1.0,1.0
12,man made,554,1,1.0,1.0
13,climate policy,826,1,1.0,1.0
14,hottest,1098,1,1.0,1.0
15,greening,104,1,1.0,1.0
16,Global Warming,408,1,1.0,1.0
17,environmental impact,156,1,1.0,1.0
18,extinction,852,1,1.0,1.0
19,catastrophic,1127,1,1.0,1.0
20,global heating,486,1,1.0,1.0
21,fossil fuel industry,709,1,1.0,1.0
22,environmentalists,540,1,1.0,1.0
23,abatement,49,1,1.0,1.0
24,the climate crisis,2427,1,1.0,1.0
25,Alexandria Ocasio Cortez,499,1,1.0,0.0
26,air pollution,800,1,1.0,0.0
27,regulations,1016,1,1.0,0.0
28,tipping points,260,1,1.0,0.0
29,heat waves,716,1,1.0,0.0
30,disasters,908,1,1.0,0.0
31,ecosystems,1022,1,1.0,0.0
32,sea level rise,1290,1,1.0,0.0
33,CO levels,196,1,1.0,0.0
34,fossil fuels,4004,1,1.0,0.0
35,government,5533,1,1.0,0.0
36,cloud,278,1,1.0,0.0
37,cold,1555,1,1.0,0.0
38,planet,5192,1,1.0,0.0
39,weather,4675,1,1.0,0.0
40,storm,1039,1,1.0,0.0
41,human,5027,1,1.0,0.0
42,ocean,2530,1,1.0,0.0
43,price,1218,1,1.0,0.0
44,research,4059,1,1.0,0.0
45,deaths,663,1,1.0,0.0
46,temperature,4768,1,1.0,0.0
47,plan,3681,1,1.0,0.0
48,federal,2533,1,1.0,0.0
49,solar,2224,1,1.0,0.0
50,natural gas,1818,1,1.0,0.0
51,recovery,672,1,1.0,0.0
52,public,3758,1,1.0,0.0
53,water,4403,1,1.0,0.0
54,policies,2667,1,1.0,0.0
55,investment,1117,1,1.0,0.0
56,life,2381,1,1.0,0.0
57,nations,2609,1,1.0,0.0
58,Wallace Wells,150,1,1.0,0.0
59,hydrogen,341,1,1.0,0.0
60,technology,1605,1,1.0,0.0
61,cost,2284,1,1.0,0.0
62,nature,1050,1,1.0,0.0
63,industries,855,1,1.0,0.0
64,big picture,74,1,1.0,0.0
65,trees,1656,1,1.0,0.0
66,sea ice,1307,1,1.0,0.0
67,coral,1117,1,1.0,0.0
68,economic,3672,1,1.0,0.0
69,extreme,3404,1,1.0,0.0
70,plants,2653,1,1.0,0.0
71,transport,825,1,1.0,0.0
72,snow,956,1,1.0,0.0
73,bee,48,1,1.0,0.0
74,trade,1108,1,1.0,0.0
75,polar,1024,1,1.0,0.0
76,Joe Biden,343,1,1.0,0.0
77,giant,442,1,1.0,0.0
78,winter,1271,1,1.0,0.0
79,cooling,644,1,1.0,0.0
80,risk,2366,1,1.0,0.0
