,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,asylum,485,1,1.0,1.0
1,back doors,63,1,1.0,1.0
2,classified information,776,1,1.0,1.0
3,counterintelligence,417,1,1.0,1.0
4,Courage Foundation,67,1,1.0,1.0
5,crimes,490,1,1.0,1.0
6,cyber security,107,1,1.0,1.0
7,extradition,1357,1,1.0,1.0
8,foreign intelligence,277,1,1.0,1.0
9,hack,519,1,1.0,1.0
10,hackers,697,1,1.0,1.0
11,hacking,968,1,1.0,1.0
12,indictment,1294,1,1.0,1.0
13,investigation,1459,1,1.0,1.0
14,Julian Assange,1064,1,1.0,1.0
15,Main Core,60,1,1.0,1.0
16,military documents,46,1,1.0,1.0
17,military intelligence,296,1,1.0,1.0
18,national security,1431,1,1.0,1.0
19,Paul Whelan,415,1,1.0,1.0
20,political operative,23,1,1.0,1.0
21,public interest,152,1,1.0,1.0
22,sanctions,543,1,1.0,1.0
23,spy,2819,1,1.0,1.0
24,surveillance,1497,1,1.0,1.0
25,technology,1629,1,1.0,1.0
26,dossier,352,1,1.0,1.0
27,the Espionage Act,670,1,1.0,1.0
28,the NSA,591,1,1.0,1.0
29,Ben Menashe,148,1,1.0,0.0
30,Chinese national,52,1,1.0,0.0
31,Chinese spy,80,1,1.0,0.0
32,Communist China,45,1,1.0,0.0
33,data,1467,1,1.0,0.0
34,Eric Swalwell,30,1,1.0,0.0
35,Huawei Technologies,62,1,1.0,0.0
36,Israeli intelligence,188,1,1.0,0.0
37,Israeli military intelligence,95,1,1.0,0.0
38,Jeffrey Epstein,87,1,1.0,0.0
39,Kaspersky Lab,61,1,1.0,0.0
40,Lockheed Martin,62,1,1.0,0.0
41,Shalev Hulio,49,1,1.0,0.0
42,government,6585,1,1.0,0.0
43,United States intelligence,579,1,1.0,0.0
44,networks,782,1,1.0,0.0
45,United States government,839,1,1.0,0.0
46,Intelligence Committee,295,1,1.0,0.0
47,House Intelligence Committee,143,1,1.0,0.0
48,intelligence officials,331,1,1.0,0.0
49,freedom,493,1,1.0,0.0
50,United States military,191,1,1.0,0.0
51,Trump campaign,347,1,1.0,0.0
52,Justice Department,940,1,1.0,0.0
53,States intelligence official,41,1,1.0,0.0
54,intelligence,7267,1,0.0,
55,political,1941,1,0.0,
56,information,5314,1,0.0,
57,espionage,2902,1,0.0,
58,security,4466,1,0.0,
59,military,2141,1,0.0,
60,classified,1924,1,0.0,
61,spying,2188,1,0.0,
62,tech,678,1,0.0,
63,WikiLeaks founder,359,1,0.0,
64,Mr Assange,262,1,0.0,
65,States intelligence officials,63,1,0.0,
66,Rep Eric Swalwell,16,1,0.0,
67,WikiLeaks founder Julian,231,1,0.0,
68,founder Julian Assange,270,1,0.0,
69,United States,10639,0,,
70,officials,2935,0,,
71,know,2084,0,,
72,consulate,435,0,,
73,local,298,0,,
74,former,3127,0,,
75,Bay Area,45,0,,
76,current,417,0,,
77,court,2253,0,,
78,embassy,1432,0,,
79,campaign,1313,0,,
80,firms,367,0,,
81,journalists,1246,0,,
82,relationship,655,0,,
83,charges,2341,0,,
84,official,1282,0,,
85,company,2598,0,,
86,recognition,119,0,,
87,case,3058,0,,
88,companies,1659,0,,
89,could,3205,0,,
90,documents,1984,0,,
91,firm,764,0,,
92,sexual,286,0,,
93,member,487,0,,
94,free,550,0,,
95,police,804,0,,
96,national,2169,0,,
97,ties,619,0,,
98,nuclear,536,0,,
99,products,479,0,,
100,media,1735,0,,
101,one,3565,0,,
102,report,2104,0,,
103,venture,70,0,,
104,think,1368,0,,
105,year,2312,0,,
106,politicians,230,0,,
107,prosecutors,899,0,,
108,alleged,1104,0,,
109,United States officials,288,0,,
110,US government,354,0,,
111,prison,1572,0,,
112,prosecution,565,0,,
113,elected,107,0,,
114,activities,739,0,,
115,press,1029,0,,
116,secrets,1273,0,,
117,operative,162,0,,
118,agencies,1475,0,,
119,state,1951,0,,
120,attorneys,246,0,,
121,authorities,1064,0,,
122,foreign,2232,0,,
123,public,1941,0,,
124,journalist,862,0,,
125,research,640,0,,
126,hearing,863,0,,
127,agency,1319,0,,
128,close,637,0,,
129,founder,815,0,,
130,software,768,0,,
131,video,732,0,,
132,allegations,798,0,,
133,big,364,0,,
134,trade,936,0,,
