,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,gun violence,4918,1,1.0,1.0
1,gun rights,2339,1,1.0,1.0
2,gun owners,2865,1,1.0,1.0
3,law abiding,1346,1,1.0,1.0
4,gun deaths,560,1,1.0,1.0
5,restrictions,1604,1,1.0,1.0
6,gun laws,2643,1,1.0,1.0
7,gun safety,1280,1,1.0,1.0
8,ammunition,1402,1,1.0,1.0
9,killed,2744,1,1.0,1.0
10,gun sales,892,1,1.0,1.0
11,red flag laws,971,1,1.0,1.0
12,massacre,1055,1,1.0,1.0
13,mass shooting,1899,1,1.0,1.0
14,rifle,2029,1,1.0,1.0
15,anti gun,724,1,1.0,1.0
16,armed,1273,1,1.0,1.0
17,gun lobby,632,1,1.0,1.0
18,victims,1270,1,1.0,1.0
19,magazine,582,1,1.0,1.0
20,self defense,795,1,1.0,1.0
21,gun confiscation,311,1,1.0,1.0
22,handgun,1458,1,1.0,1.0
23,universal background checks,1275,1,1.0,1.0
24,bullets,394,1,1.0,1.0
25,right to bear,477,1,1.0,1.0
26,hunting,831,1,1.0,1.0
27,gun control,8321,1,1.0,1.0
28,semi automatic firearms,150,1,1.0,1.0
29,assault weapons,3238,1,1.0,1.0
30,rally,1252,1,1.0,0.0
31,government,2980,1,1.0,0.0
32,legislation,4529,1,1.0,0.0
33,bill,4078,1,1.0,0.0
34,justices,455,1,1.0,0.0
35,state,6228,1,1.0,0.0
36,group,2343,1,1.0,0.0
37,city,1646,1,1.0,0.0
38,free,930,1,1.0,0.0
39,court,2061,1,1.0,0.0
40,case,2133,1,1.0,0.0
41,police,2749,1,1.0,0.0
42,rule,448,1,1.0,0.0
43,El Paso,1644,1,1.0,0.0
44,students,1843,1,1.0,0.0
45,Supreme Court,1296,1,1.0,0.0
46,San Francisco,246,1,1.0,0.0
47,federal,3487,1,1.0,0.0
48,senators,479,1,1.0,0.0
49,citizens,1560,1,1.0,0.0
50,New Zealand,887,1,1.0,0.0
51,measures,2253,1,1.0,0.0
52,lawmakers,1759,1,1.0,0.0
53,political,2578,1,1.0,0.0
54,research,914,1,1.0,0.0
55,resolution,302,1,1.0,0.0
56,Joe Biden,512,1,1.0,0.0
57,media,1541,1,1.0,0.0
58,crime,1688,1,1.0,0.0
59,public,3215,1,1.0,0.0
60,indispensable,63,1,1.0,0.0
61,support,4208,1,1.0,0.0
62,protest,486,1,1.0,0.0
63,crisis,562,1,1.0,0.0
64,issue,3425,1,1.0,0.0
65,plaintiffs,202,1,1.0,0.0
66,carry,2553,1,1.0,0.0
67,teachers,1104,1,1.0,0.0
68,children,1574,1,1.0,0.0
69,emergency,546,1,1.0,0.0
70,policy,1590,1,1.0,0.0
71,stock,439,1,1.0,0.0
72,constitutional,1060,1,1.0,0.0
73,controls,265,1,1.0,0.0
74,Donald Trump,1025,1,1.0,0.0
75,safety,2923,1,1.0,0.0
76,conservative,884,1,1.0,0.0
77,plan,1425,1,1.0,0.0
78,industry,815,1,1.0,0.0
79,temporarily,373,1,1.0,0.0
80,attacker,145,1,1.0,0.0
81,Ralph Northam,329,1,1.0,0.0
82,advocates,1586,1,1.0,0.0
83,new gun,670,1,1.0,0.0
84,buy,1794,1,1.0,0.0
85,New York City,488,1,1.0,0.0
86,registration,451,1,1.0,0.0
87,activists,948,1,1.0,0.0
88,policing,77,1,1.0,0.0
89,cultural,174,1,1.0,0.0
90,law enforcement,1924,1,1.0,0.0
91,declaration,111,1,1.0,0.0
92,health,1724,1,1.0,0.0
93,possession,693,1,1.0,0.0
94,war,859,1,1.0,0.0
95,problem,1624,1,1.0,0.0
96,peaceful,202,1,1.0,0.0
97,Parkland Fla,339,1,1.0,0.0
98,high school,774,1,1.0,0.0
99,purchase,1352,1,1.0,0.0
100,Amnesty International,48,1,1.0,0.0
101,officers,789,1,1.0,0.0
102,criminals,866,1,1.0,0.0
103,illegal,849,1,1.0,0.0
104,Second Amendment,5139,1,1.0,
105,firearm,3316,1,1.0,
106,ban,5379,1,1.0,
107,militia,362,1,1.0,
108,assault style,573,1,1.0,
109,military,1486,1,1.0,
110,assault weapons ban,959,1,1.0,
111,property,417,1,1.0,
112,mental health,1101,1,1.0,
113,suppressors,140,1,1.0,
114,gun control measures,820,1,0.0,
115,gun control legislation,585,1,0.0,
116,gun,44634,1,0.0,
117,firearms,7634,1,0.0,
118,violence,7636,1,0.0,
119,shooting,7663,1,0.0,
120,right,5303,1,0.0,
121,laws,7990,1,0.0,
122,guns,13997,1,0.0,
123,background,8188,1,0.0,
124,New York,2168,1,0.0,
125,school,4356,1,0.0,
126,red flag,1758,1,0.0,
127,arms,1433,1,0.0,
128,rights,5095,1,0.0,
129,mass,6073,1,0.0,
130,law,9116,1,0.0,
131,background checks,5605,1,0.0,
132,weapons,8530,1,0.0,
133,assault,5510,1,0.0,
134,shootings,5014,1,0.0,
135,groups,1941,1,0.0,
136,deaths,1214,1,0.0,
137,Mr Trump,207,1,0.0,
138,magazines,1544,1,0.0,
139,president,3059,1,0.0,
140,protesters,429,1,0.0,
141,semi automatic,1293,1,0.0,
142,states,3598,1,0.0,
143,courts,929,1,0.0,
144,confiscation,712,1,0.0,
145,sales,2306,1,0.0,
146,bills,1467,1,0.0,
147,mass shootings,3044,1,0.0,
148,bear arms,880,1,0.0,
149,rifles,2432,1,0.0,
150,style,1721,1,0.0,
