,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,TOPIC,HKG,CHN,RUS,MYANMAR,INDIA,OTHER
0,peace,2.23e-11,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,genocide,1.26e-11,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,pro democracy,7.72e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,freedom,7.48e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,coup,7.07e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,detention,6.94e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,prisoners,4.04e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,human rights violations,3.55e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,occupation,1.92e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,human rights abuses,1.36e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,violence,1.31e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,populist,1.21e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,protest,1.11e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,censorship,1.04e-12,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,repression,8.79e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,authoritarian,8.44e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,terrorist,7.95e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,regime change,7.71e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,extremist,6.54e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,murder,6.42e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,detainees,5.73e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,asylum seekers,5.37e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,alleged torture,5.06e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,autonomy,4.9e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,war crimes,4.81e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,junta,4.77e-13,1,1.0,1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
