,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,anti Muslim,1461,1,1.0,1.0
1,bigotry,375,1,1.0,1.0
2,blasphemy,456,1,1.0,1.0
3,caliph,170,1,1.0,1.0
4,citizenship law,327,1,1.0,1.0
5,discrimination,637,1,1.0,1.0
6,extremism,848,1,1.0,1.0
7,extremist,847,1,1.0,1.0
8,free speech,174,1,1.0,1.0
9,hate crimes,280,1,1.0,1.0
10,hate groups,87,1,1.0,1.0
11,holy month,344,1,1.0,1.0
12,ideology,772,1,1.0,1.0
13,migrant,208,1,1.0,1.0
14,militants,641,1,1.0,1.0
15,Muslim ban,174,1,1.0,1.0
16,nationalism,380,1,1.0,1.0
17,nationalist,728,1,1.0,1.0
18,non Muslim,470,1,1.0,1.0
19,peace,848,1,1.0,1.0
20,prayer,1576,1,1.0,1.0
21,refugees,533,1,1.0,1.0
22,religious freedom,423,1,1.0,1.0
23,religious minorities,385,1,1.0,1.0
24,religious violence,52,1,1.0,1.0
25,terror attacks,299,1,1.0,1.0
26,terrorism,1823,1,1.0,1.0
27,terrorist,1854,1,1.0,1.0
28,travel ban,262,1,1.0,1.0
29,worshippers,647,1,1.0,1.0
30,beheaded,77,1,1.0,1.0
31,genocide,204,1,1.0,1.0
32,freedom of expression,64,1,1.0,1.0
33,Islamophobia in the,82,1,1.0,1.0
34,mosque,4709,1,1.0,1.0
35,worship,952,1,1.0,1.0
36,jihad,864,1,1.0,1.0
37,pilgrimage,539,1,1.0,1.0
38,al Qaida,156,1,1.0,0.0
39,religion,2730,1,1.0,0.0
40,Islamic State,2079,1,1.0,0.0
41,Muslim pilgrims,97,1,1.0,0.0
42,Hajj pilgrimage,47,1,1.0,0.0
43,Jihad Watch,109,1,1.0,0.0
44,Eid al Adha,218,1,1.0,0.0
45,Al Aqsa,250,1,1.0,0.0
46,anti Semitism,272,1,1.0,0.0
47,a Shillman Fellow,110,1,1.0,0.0
48,Sword and Scimitar,92,1,1.0,0.0
49,the BJP,379,1,1.0,0.0
50,the caliphate,209,1,1.0,0.0
51,the pilgrimage,150,1,1.0,0.0
52,the Prophet,407,1,1.0,0.0
53,the Quran,618,1,1.0,0.0
54,the Taliban,205,1,1.0,0.0
55,Muslim worship,56,1,1.0,0.0
56,Mount Arafat,78,1,1.0,0.0
57,Saudi Arabia,1472,1,1.0,0.0
58,attack,2951,1,1.0,0.0
59,fighters,634,1,1.0,0.0
60,violence,2871,1,1.0,0.0
61,war,1891,1,1.0,0.0
62,Muslim women,848,1,1.0,0.0
63,New Delhi,422,1,1.0,0.0
64,Yaxley Lennon,67,1,1.0,0.0
65,Grand Mosque,213,1,1.0,0.0
66,President Tayyip Erdogan,30,1,1.0,0.0
67,boycott,156,1,1.0,0.0
68,secular,864,1,1.0,0.0
69,Sri Lanka,639,1,1.0,0.0
70,Charlie Hebdo,99,1,1.0,0.0
71,David Horowitz Freedom,125,1,1.0,0.0
72,President Emmanuel Macron,51,1,1.0,0.0
73,white supremacist,296,1,1.0,0.0
74,Ilhan Omar,407,1,1.0,0.0
75,Tommy Robinson,134,1,1.0,0.0
76,Muslim majority,733,1,1.0,0.0
77,Eid al Fitr,219,1,1.0,0.0
78,French President Emmanuel,34,1,1.0,0.0
79,Prince Mohammed,134,1,1.0,0.0
80,Counter Terrorism,30,1,1.0,0.0
81,Regents Park,49,1,1.0,0.0
82,al Azhar,39,1,1.0,0.0
83,al Qaeda,378,1,1.0,0.0
84,civil rights,188,1,1.0,0.0
85,Muslim community,860,1,1.0,0.0
86,Robert Spencer,123,1,1.0,0.0
87,Samuel Paty,14,1,1.0,0.0
88,Fattah el Sisi,33,1,1.0,0.0
89,Raymond Ibrahim,49,1,1.0,0.0
90,American Muslims,354,1,1.0,0.0
91,Muslim American,247,1,1.0,0.0
92,British Muslims,176,1,1.0,0.0
93,Miqdaad Versi,32,1,1.0,0.0
94,immigrants,648,1,1.0,0.0
95,immigration,668,1,1.0,0.0
96,national security,363,1,1.0,0.0
97,Hindu nationalist,352,1,0.0,
98,minorities,1068,1,0.0,
99,pilgrims,652,1,0.0,
100,religious,6214,1,0.0,
101,mosques,2351,1,0.0,
102,citizenship,1359,1,0.0,
103,freedom,1175,1,0.0,
104,Mr Modi,115,1,0.0,
105,religions,510,1,0.0,
106,Horowitz Freedom Center,125,1,0.0,
107,Mr Erdogan,50,1,0.0,
108,migrants,471,1,0.0,
109,Delhi police,63,1,0.0,
110,blasphemous,50,1,0.0,
111,Politically Incorrect Guide,94,1,0.0,
112,Al Aqsa mosque,50,1,0.0,
113,el Sisi,50,1,0.0,
114,non Muslims,507,1,0.0,
115,terrorists,920,1,0.0,
116,Muslim Americans,202,1,0.0,
117,American Islamic Relations,307,1,0.0,
118,the mosque,1316,1,0.0,
119,Eid al,440,0,,
120,Hagia Sophia,1016,0,,
121,United States,4747,0,,
122,ban,1554,0,,
123,anti,3541,0,,
124,hate,1836,0,,
125,prayers,1581,0,,
126,free,932,0,,
127,right,3457,0,,
128,far right,999,0,,
129,party,1873,0,,
130,month,1988,0,,
131,New Zealand,1645,0,,
132,day,2355,0,,
133,white,1814,0,,
134,cartoons,112,0,,
135,first,3447,0,,
136,government,5244,0,,
137,police,3124,0,,
138,women,4007,0,,
139,holy,1077,0,,
140,think,1901,0,,
141,far,2238,0,,
142,pray,739,0,,
143,year,4489,0,,
144,cases,869,0,,
145,fast,614,0,,
146,political,3143,0,,
147,know,1918,0,,
148,gatherings,370,0,,
149,show,1176,0,,
150,forces,1002,0,,
151,face,1517,0,,
152,community,3166,0,,
153,group,3895,0,,
154,teacher,215,0,,
155,world,3760,0,,
156,law,3320,0,,
157,deaths,376,0,,
158,article,868,0,,
159,pandemic,688,0,,
160,groups,3356,0,,
161,page,393,0,,
162,media,2572,0,,
163,home,2159,0,,
164,eligible,109,0,,
165,security,1882,0,,
166,state,3331,0,,
167,policy,940,0,,
168,statement,1381,0,,
169,officials,1440,0,,
170,festival,208,0,,
171,non,1676,0,,
172,camps,763,0,,
173,platform,259,0,,
174,opportunities,173,0,,
175,family,1853,0,,
176,plot,236,0,,
177,one,7293,0,,
178,country,4240,0,,
179,racist,642,0,,
180,near,669,0,,
181,man,1763,0,,
182,comments,924,0,,
183,interested,173,0,,
184,city,1707,0,,
185,riots,420,0,,
186,court,1330,0,,
187,conversations,159,0,,
188,long,2050,0,,
189,really,1169,0,,
190,book,878,0,,
191,killed,2067,0,,
192,attacks,3121,0,,
193,region,1298,0,,
194,rights,2029,0,,
195,speech,1030,0,,
196,alerts,80,0,,
197,New York,963,0,,
198,racism,652,0,,
199,mosaics,74,0,,
200,revealed,305,0,,
201,last,2768,0,,
202,extended,205,0,,
203,public,2436,0,,
204,faith,1874,0,,
205,gather,250,0,,
206,even,3282,0,,
207,years,4037,0,,
208,bill,506,0,,
209,school,1162,0,,
210,decision,1294,0,,
211,ancient,245,0,,
212,audience,273,0,,
213,persecution,561,0,,
214,church,1010,0,,
215,dont,1903,0,,
216,original,290,0,,
217,slave,200,0,,
218,friends,704,0,,
219,available,251,0,,
220,report,1431,0,,
221,charge,354,0,,
222,children,1652,0,,
223,fact,1251,0,,
224,happening,363,0,,
225,leader,1617,0,,
226,added,1106,0,,
227,administration,678,0,,
228,closed,501,0,,
229,nine,285,0,,
230,video,1163,0,,
231,including,2792,0,,
232,provide,467,0,,
233,time,3647,0,,
234,platforms,162,0,,
235,prays,89,0,,
236,military,1228,0,,
237,spread,1052,0,,
238,research,435,0,,
239,created,530,0,,
240,symbolic,151,0,,
241,minister,1145,0,,
242,travel,731,0,,
243,dome,84,0,,
244,sign,409,0,,
245,morning,425,0,,
246,friend,366,0,,
247,wearing,843,0,,
248,history,1541,0,,
249,Prime Minister,785,0,,
250,authorities,1419,0,,
251,order,965,0,,
252,two,3655,0,,
253,century,908,0,,
254,led,1318,0,,
255,voice,350,0,,
256,prophet,309,0,,
257,ambition,39,0,,
258,leaders,1884,0,,
259,revered,108,0,,
260,higher,171,0,,
261,majority,1857,0,,
262,radical,900,0,,
263,decades,771,0,,
264,fasting,373,0,,
265,black,664,0,,
266,old,1939,0,,
267,see,1965,0,,
268,much,1889,0,,
269,without,1251,0,,
270,judge,255,0,,
271,want,1806,0,,
272,start,585,0,,
273,million,1589,0,,
274,officers,486,0,,
275,local,1799,0,,
276,called,2615,0,,
277,crowds,163,0,,
278,jailed,156,0,,
279,nations,806,0,,
280,social,2100,0,,
281,expression,219,0,,
282,products,184,0,,
283,account,540,0,,
284,breaking,302,0,,
285,clerics,389,0,,
286,cultural,709,0,,
287,registered,96,0,,
288,mob,330,0,,
289,arrested,811,0,,
290,outbreak,272,0,,
291,today,999,0,,
292,mark,204,0,,
293,cleric,288,0,,
294,men,1829,0,,
295,digital,89,0,,
296,post,662,0,,
297,anger,293,0,,
298,week,1459,0,,
299,president,1410,0,,
300,ambassador,146,0,,
301,population,1352,0,,
302,demolition,91,0,,
303,go,1664,0,,
304,ministry,258,0,,
305,protests,908,0,,
306,annual,286,0,,
307,democracy,569,0,,
308,national,1435,0,,
309,left,1506,0,,
310,large,1079,0,,
311,girls,473,0,,
312,Conservative Party,77,0,,
313,countries,2537,0,,
314,contain,131,0,,
315,though,921,0,,
316,asked,1170,0,,
317,Mr Trump,102,0,,
318,crisis,465,0,,
319,life,1675,0,,
320,make,1920,0,,
321,slaves,211,0,,
322,change,915,0,,
323,foreign,1243,0,,
324,backed,384,0,,
325,around,2503,0,,
326,banned,642,0,,
327,detention,406,0,,
328,call,1369,0,,
329,way,2351,0,,
330,special,528,0,,
331,back,2188,0,,
332,ruling,729,0,,
333,kingdom,342,0,,
334,actually,712,0,,
335,protest,569,0,,
336,live,1036,0,,
337,compound,203,0,,
338,something,1108,0,,
339,evening,261,0,,
340,Turkeys President,27,0,,
341,view,569,0,,
342,house,673,0,,
343,power,1324,0,,
344,matter,672,0,,
345,conservative,743,0,,
346,building,840,0,,
347,social media,987,0,,
348,address,351,0,,
349,arrests,140,0,,
350,perform,289,0,,
351,returnees,49,0,,
352,caricatures,28,0,,
353,hit,317,0,,
354,weeks,717,0,,
355,churches,671,0,,
356,huge,282,0,,
357,posted,538,0,,
358,support,1958,0,,
359,legislation,354,0,,
360,town,588,0,,
361,outside,1235,0,,
362,woman,1253,0,,
363,cartoon,66,0,,
364,taken,1141,0,,
365,status,602,0,,
366,stock,59,0,,
367,things,874,0,,
368,schools,766,0,,
369,communities,1399,0,,
370,incident,503,0,,
371,often,1343,0,,
372,get,1433,0,,
373,temple,410,0,,
374,fear,1046,0,,
375,regime,563,0,,
376,must,1430,0,,
377,suicide,437,0,,
378,move,721,0,,
379,virtual,122,0,,
380,reporting,242,0,,
381,tweet,427,0,,
382,civil,795,0,,
383,found,1433,0,,
384,establishment,277,0,,
385,authority,385,0,,
386,saying,1460,0,,
387,observe,203,0,,
388,border,432,0,,
389,prison,596,0,,
390,views,778,0,,
