,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,annexation,4764,1,1.0,1.0
1,anti Israel,2089,1,1.0,1.0
2,anti Semitic,8665,1,1.0,1.0
3,anti Semitism,9672,1,1.0,1.0
4,genocide,1764,1,1.0,1.0
5,Benjamin Netanyahu,5477,1,1.0,1.0
6,peace,19203,1,1.0,1.0
7,reparations,782,1,1.0,1.0
8,sanctions,13048,1,1.0,1.0
9,settlements,6261,1,1.0,1.0
10,solidarity,2320,1,1.0,1.0
11,sovereignty,3653,1,1.0,1.0
12,terrorist,8685,1,1.0,1.0
13,violence,11662,1,1.0,1.0
14,war,42451,1,1.0,1.0
15,colonial,1466,1,1.0,1.0
16,conflict,12293,1,1.0,1.0
17,the Middle East,12768,1,1.0,1.0
18,the Palestinian,9597,1,1.0,1.0
19,the IDF,894,1,1.0,1.0
20,protective,3839,1,1.0,0.0
21,terror,5354,1,1.0,0.0
22,Air Force,2161,1,1.0,0.0
23,behind closed doors,8283,1,1.0,0.0
24,allies,11961,1,1.0,0.0
25,international,23702,1,0.0,
26,Prime Minister,13585,1,0.0,
27,Mr Netanyahu,1244,1,0.0,
28,Prime Minister Benjamin,6143,1,0.0,
29,prime minister,9677,1,0.0,
30,Israeli Prime Minister,4012,1,0.0,
31,occupied West Bank,2281,1,0.0,
32,nuclear,24008,1,0.0,
33,candidates,7804,1,0.0,
34,hijackers,442,1,0.0,
35,United States Navy,470,1,0.0,
36,Israeli officials,1145,1,0.0,
37,United States Air,250,1,0.0,
38,startups,336,1,0.0,
39,United States Army,527,1,0.0,
40,Donald Trump,15683,1,0.0,
41,wars,5713,1,0.0,
42,capitalism,1449,1,0.0,
43,democracies,925,1,0.0,
44,Joe Biden,4175,1,0.0,
45,public health,2635,1,0.0,
46,Ilhan Omar,4442,1,0.0,
47,isolation,6133,1,0.0,
48,Jeremy Corbyn,1111,1,0.0,
49,Labour Party,1239,1,0.0,
50,restrictions,8244,1,0.0,
51,Tel Aviv,5470,1,0.0,
52,ultra Orthodox,1445,1,0.0,
53,democratic,4872,1,0.0,
54,diplomatic,5243,1,0.0,
55,foreign policy,9676,1,0.0,
56,human rights,8440,1,0.0,
57,Israel Adesanya,851,1,0.0,
58,military,39959,1,0.0,
59,Nobel Peace Prize,408,1,0.0,
60,oil,13170,1,0.0,
61,regime,11396,1,0.0,
62,Saudi Arabia,12050,1,0.0,
63,socialist,2249,1,0.0,
64,United Arab Emirates,2373,1,0.0,
65,postponed,48398,0,,
66,United States,119409,0,,
67,finds,16168,0,,
68,outbreak,33339,0,,
69,cancelled,24383,0,,
70,pictures,7797,0,,
