,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,Ilhan Omar,1633,1,1.0,1.0
1,Jeremy Corbyn,494,1,1.0,1.0
2,Ocasio Cortez,823,1,1.0,1.0
3,pro Israel,1025,1,1.0,1.0
4,violence,2852,1,1.0,1.0
5,anti Israel,761,1,1.0,1.0
6,anti Semitic,10086,1,1.0,1.0
7,bigotry,1216,1,1.0,1.0
8,dual loyalty,475,1,1.0,1.0
9,hate crimes,1195,1,1.0,1.0
10,hate speech,627,1,1.0,1.0
11,Israel lobby,236,1,1.0,1.0
12,neo Nazi,672,1,1.0,1.0
13,rabbis,905,1,1.0,1.0
14,support for Israel,432,1,1.0,1.0
15,synagogue,5591,1,1.0,1.0
16,white nationalist,756,1,1.0,1.0
17,white supremacist,1109,1,1.0,1.0
18,Bend the Arc,196,1,1.0,0.0
19,Dane Hicks,15,1,1.0,0.0
20,DeSean Jackson,279,1,1.0,0.0
21,George Soros,638,1,1.0,0.0
22,Jared Kushner,142,1,1.0,0.0
23,Laura Kelly,18,1,1.0,0.0
24,Louis Farrakhan,522,1,1.0,0.0
25,Nation of Islam,458,1,1.0,0.0
26,Nick Cannon,160,1,1.0,0.0
27,Rashida Tlaib,717,1,1.0,0.0
28,Robert Bowers,575,1,1.0,0.0
29,Squirrel Hill,531,1,1.0,0.0
30,Star of David,293,1,1.0,0.0
31,Stephen Jackson,135,1,1.0,0.0
32,Temple Beth,43,1,1.0,0.0
33,Tisha BAv,52,1,1.0,0.0
34,Tree of Life,1815,1,1.0,0.0
35,Voice for Peace,96,1,1.0,0.0
36,Yom Kippur,262,1,1.0,0.0
37,BDS movement,468,1,1.0,0.0
38,anti Semitism,9696,1,1.0,0.0
39,international,923,1,0.0,
40,Prime Minister,746,1,0.0,
41,Prime Minister Benjamin,420,1,0.0,
42,Donald Trump,1427,1,0.0,
43,genocide,743,1,0.0,
44,Labour Party,705,1,0.0,
45,military,536,1,0.0,
46,Minister Benjamin Netanyahu,378,1,0.0,
47,restrictions,354,1,0.0,
48,sanctions,187,1,0.0,
49,terrorist,579,1,0.0,
50,ultra Orthodox,515,1,0.0,
51,war,2139,1,0.0,
52,address,755,0,,
53,administration,983,0,,
54,anti,26378,0,,
55,article,1327,0,,
56,back,3250,0,,
57,black,2196,0,,
58,business,720,0,,
59,campaign,2468,0,,
60,candidate,779,0,,
61,cases,907,0,,
62,city,2011,0,,
63,class,635,0,,
64,companies,384,0,,
65,conservative,825,0,,
66,could,4306,0,,
67,countries,1024,0,,
68,crisis,635,0,,
69,deal,730,0,,
70,dont,3737,0,,
71,election,1259,0,,
72,even,5054,0,,
73,first,4672,0,,
