,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,military spending,2818,1,1.0,1.0
1,foreign policy,1316,1,1.0,1.0
2,budget plan,53,1,1.0,1.0
3,fiscal,757,1,1.0,1.0
4,budget proposal,136,1,1.0,1.0
5,nationalism,159,1,1.0,1.0
6,deficit,980,1,1.0,1.0
7,defense industry,167,1,1.0,1.0
8,defense spending,625,1,1.0,1.0
9,military aid,125,1,1.0,1.0
10,military industrial complex,389,1,1.0,1.0
11,police state,51,1,1.0,1.0
12,militarism,378,1,1.0,1.0
13,imperialism,114,1,1.0,1.0
14,foreign aid,82,1,1.0,1.0
15,strategic,446,1,1.0,1.0
16,military budget,437,1,1.0,1.0
17,nondefense spending,21,1,1.0,1.0
18,budget caps,114,1,1.0,1.0
19,Bernie Sanders,898,1,1.0,0.0
20,US military,427,1,1.0,0.0
21,United States military,859,1,1.0,0.0
22,South Korea,347,1,1.0,0.0
23,Cold War,865,1,1.0,0.0
24,Atlantic Treaty Organization,50,1,1.0,0.0
25,United Technologies,28,1,1.0,0.0
26,Vladimir Putin,307,1,1.0,0.0
27,World War,590,1,1.0,0.0
28,US troops,140,1,1.0,0.0
29,United States government,270,1,1.0,0.0
30,Tulsi Gabbard,44,1,1.0,0.0
31,United Nations,255,1,1.0,0.0
32,Mike Gravel,57,1,1.0,0.0
33,South China Sea,94,1,1.0,0.0
34,sanctions,731,1,1.0,0.0
35,troops,1510,1,1.0,0.0
36,allies,1361,1,1.0,0.0
37,Air Force,339,1,1.0,0.0
38,peace,1031,1,1.0,0.0
39,nuclear weapons,586,1,1.0,0.0
40,Space Force,173,1,1.0,0.0
41,nuclear deal,176,1,1.0,0.0
42,bombing,259,1,1.0,0.0
43,violence,594,1,1.0,0.0
44,armed forces,255,1,1.0,0.0
45,combat,349,1,1.0,0.0
46,defended,94,1,1.0,0.0
47,civilian,308,1,1.0,0.0
48,attack,767,1,1.0,0.0
49,clashes,26,1,1.0,0.0
50,missile,519,1,1.0,0.0
51,warfare,246,1,1.0,0.0
52,the Taliban,151,1,1.0,0.0
53,Pentagon budget,264,1,1.0,0.0
54,war,5339,1,1.0,0.0
55,global,1764,1,1.0,0.0
56,wall,1034,1,1.0,0.0
57,think tanks,111,1,1.0,0.0
58,Saudi Arabia,566,1,1.0,0.0
59,President Donald Trump,466,1,1.0,0.0
60,arms,1122,1,1.0,0.0
61,bill,1570,1,1.0,0.0
62,establishment,396,1,1.0,0.0
63,Fidel Castro,57,1,1.0,0.0
64,Trumps budget,127,1,1.0,0.0
65,San Diego,75,1,1.0,0.0
66,socialism,185,1,1.0,0.0
67,poverty,495,1,1.0,0.0
68,Social Security,394,1,1.0,0.0
69,massive literacy program,20,1,1.0,0.0
70,socialist,243,1,1.0,0.0
71,right wing,221,1,1.0,0.0
72,equipment,363,1,1.0,0.0
73,dictators,63,1,1.0,0.0
74,border wall,315,1,1.0,0.0
75,Poor Peoples Campaign,63,1,1.0,0.0
76,inflation,280,1,1.0,0.0
77,safety net,89,1,1.0,0.0
78,repression,107,1,1.0,0.0
79,fund,516,1,1.0,0.0
80,coup,199,1,1.0,0.0
81,human rights,353,1,1.0,0.0
82,capitalism,254,1,1.0,0.0
83,tax breaks,52,1,1.0,0.0
84,submarines,108,1,1.0,0.0
85,American troops,106,1,1.0,0.0
86,UN General Assembly,36,1,1.0,0.0
87,weapons,2096,1,0.0,
88,industry,850,1,0.0,
89,security,2204,1,0.0,
90,United States,12050,1,0.0,
91,military,10975,1,0.0,
