,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,casino,321,1,1.0,1.0
1,gold,157,1,1.0,1.0
2,heritage,305,1,1.0,1.0
3,hunting,122,1,1.0,1.0
4,Indian Country,331,1,1.0,1.0
5,Indian reservation,53,1,1.0,1.0
6,Indigenous people,209,1,1.0,1.0
7,logo,93,1,1.0,1.0
8,mascots,137,1,1.0,1.0
9,mining,181,1,1.0,1.0
10,monument,291,1,1.0,1.0
11,Native people,314,1,1.0,1.0
12,oil,369,1,1.0,1.0
13,pipeline,431,1,1.0,1.0
14,sacred,357,1,1.0,1.0
15,settlers,222,1,1.0,1.0
16,statues,107,1,1.0,1.0
17,territory,282,1,1.0,1.0
18,treaty,403,1,1.0,1.0
19,tribal governments,188,1,1.0,1.0
20,tribal leaders,201,1,1.0,1.0
21,violence,324,1,1.0,1.0
22,American Indian,497,1,1.0,1.0
23,Native Americans,1250,1,1.0,1.0
24,oil pipeline,30,1,1.0,1.0
25,Native American communities,86,1,1.0,1.0
26,sovereignty,303,1,1.0,1.0
27,Indian tribe,32,1,1.0,1.0
28,Native American rights,15,1,1.0,1.0
29,colony,33,1,1.0,1.0
30,occupation,72,1,1.0,1.0
31,westward expansion,9,1,1.0,1.0
32,massacre,70,1,1.0,1.0
33,Sitting Bull,31,1,1.0,1.0
34,colonial,130,1,1.0,1.0
35,the Black Hills,136,1,1.0,0.0
36,the Crow,49,1,1.0,0.0
37,the Indian Child,38,1,1.0,0.0
38,the Mashpee,76,1,1.0,0.0
39,pride,60,1,1.0,0.0
40,state,1554,1,1.0,0.0
41,Supreme Court,282,1,1.0,0.0
42,United States,1557,1,1.0,0.0
43,court,526,1,1.0,0.0
44,land,1987,1,1.0,0.0
45,word,150,1,1.0,0.0
46,peoples,532,1,1.0,0.0
47,bill,268,1,1.0,0.0
48,women,611,1,1.0,0.0
49,cases,516,1,1.0,0.0
50,drive,85,1,1.0,0.0
51,students,234,1,1.0,0.0
52,teams,195,1,1.0,0.0
53,school,397,1,1.0,0.0
54,rights,784,1,1.0,0.0
55,DNA test,177,1,1.0,0.0
56,target,33,1,1.0,0.0
57,vote,367,1,1.0,0.0
58,upset,34,1,1.0,0.0
59,citizenship,151,1,1.0,0.0
60,uranium,75,1,1.0,0.0
61,forest,231,1,1.0,0.0
62,election,223,1,1.0,0.0
63,seeds,85,1,1.0,0.0
64,island,254,1,1.0,0.0
65,border,338,1,1.0,0.0
66,group,570,1,1.0,0.0
67,sites,302,1,1.0,0.0
68,deaths,138,1,1.0,0.0
69,members,802,1,1.0,0.0
70,judge,140,1,1.0,0.0
71,energy,174,1,1.0,0.0
72,recognition,152,1,1.0,0.0
73,river,175,1,1.0,0.0
74,park,134,1,1.0,0.0
75,family,636,1,1.0,0.0
76,community,719,1,1.0,0.0
77,nations,547,1,1.0,0.0
78,ancestry,223,1,1.0,0.0
79,climate,189,1,1.0,0.0
80,protesters,69,1,1.0,0.0
81,Justice Department,41,1,1.0,0.0
82,suicide,61,1,1.0,0.0
83,Bears Ears,193,1,1.0,0.0
84,Cherokee Nation,248,1,1.0,0.0
85,corporations,146,1,1.0,0.0
86,cultural,475,1,1.0,0.0
87,culture,527,1,1.0,0.0
88,Dakota Access,149,1,1.0,0.0
89,Elizabeth Warren,208,1,1.0,0.0
90,environmental,378,1,1.0,0.0
91,federal agencies,33,1,1.0,0.0
92,fossil,97,1,1.0,0.0
93,historical,196,1,1.0,0.0
94,history,906,1,1.0,0.0
95,illegal,167,1,1.0,0.0
96,Indian Health,194,1,1.0,0.0
97,Junipero Serra,32,1,1.0,0.0
98,law enforcement,134,1,1.0,0.0
99,Mount Rushmore,177,1,1.0,0.0
100,Muscogee Creek,91,1,1.0,0.0
101,Native American,2140,1,1.0,0.0
102,Navajo Nation,558,1,1.0,0.0
103,North Dakota,335,1,1.0,0.0
104,Oklahoma state,13,1,1.0,0.0
105,Red Cloud,44,1,1.0,0.0
106,reservation,1162,1,1.0,0.0
107,Sioux Tribe,201,1,1.0,0.0
108,South Dakota,355,1,1.0,0.0
109,spirit,95,1,1.0,0.0
110,Standing Rock,313,1,1.0,0.0
111,tribe,1814,1,1.0,0.0
112,water,876,1,1.0,0.0
113,murdered,149,1,1.0,0.0
114,killed,252,1,1.0,0.0
115,government,1319,1,0.0,
116,leaders,620,1,0.0,
117,schools,291,1,0.0,
118,tribes,2645,1,0.0,
119,tribal,2550,1,0.0,
120,governments,409,1,0.0,
121,federal,1560,1,0.0,
122,lands,786,1,0.0,
123,Native American students,31,1,0.0,
124,states,608,1,0.0,
125,Native American women,95,1,0.0,
126,communities,909,1,0.0,
127,monuments,188,1,0.0,
128,groups,440,1,0.0,
129,DNA tests,41,1,0.0,
130,pipelines,60,1,0.0,
131,Dakota Access pipeline,44,1,0.0,
132,Native American woman,26,1,0.0,
133,treaties,237,1,0.0,
134,indigenous,1016,1,0.0,
135,native,538,1,0.0,
136,indigenous peoples,125,1,0.0,
137,American Indians,343,1,,
138,half,268,0,,
139,money,440,0,,
140,mail,129,0,,
141,potentially,60,0,,
142,nickname,76,0,,
143,launched,47,0,,
144,Ninth century,71,0,,
145,city,192,0,,
146,moment,142,0,,
147,increasingly,34,0,,
148,lawyers,48,0,,
149,wrong,130,0,,
150,name,621,0,,
151,athletic,21,0,,
152,checkpoints,179,0,,
153,claimed,117,0,,
154,criminal,132,0,,
155,outrage,28,0,,
156,effort,177,0,,
157,ruling,226,0,,
158,children,585,0,,
159,really,494,0,,
160,convictions,38,0,,
161,health,802,0,,
162,missing,236,0,,
163,whether,299,0,,
164,century,333,0,,
165,themed,15,0,,
166,team,457,0,,
167,two,944,0,,
168,led,310,0,,
169,early,314,0,,
170,white,721,0,,
171,great,344,0,,
172,law,827,0,,
173,voting,197,0,,
174,know,682,0,,
175,precise,10,0,,
176,claims,232,0,,
