,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,nuclear weapons,1241,1,1.0,1.0
1,INF Treaty,701,1,1.0,1.0
2,New START,523,1,1.0,1.0
3,Cold War,475,1,1.0,1.0
4,zero yield,22,1,1.0,1.0
5,nuclear warheads,184,1,1.0,1.0
6,nuclear war,209,1,1.0,1.0
7,Open Skies,171,1,1.0,1.0
8,arms control talks,30,1,1.0,1.0
9,Test Ban Treaty,87,1,1.0,1.0
10,compliance,354,1,1.0,1.0
11,strategic stability,79,1,1.0,1.0
12,Nuclear Test Ban,41,1,1.0,1.0
13,nuclear arms control,142,1,1.0,1.0
14,arms control treaty,160,1,1.0,1.0
15,nuclear arsenal,170,1,1.0,1.0
16,arms control negotiations,36,1,1.0,1.0
17,nuclear arms race,123,1,1.0,1.0
18,nuclear powers,90,1,1.0,1.0
19,nuclear test,52,1,1.0,1.0
20,Star Wars,40,1,1.0,1.0
21,dismantling,57,1,1.0,1.0
22,nuclear explosive,23,1,1.0,1.0
23,Strategic Arms Reduction,69,1,1.0,1.0
24,nuclear treaty,37,1,1.0,1.0
25,Non Proliferation,99,1,1.0,1.0
26,ABM treaty,44,1,1.0,1.0
27,arms control agreement,108,1,1.0,1.0
28,nuclear disarmament,83,1,1.0,1.0
29,test ban treaty,12,1,1.0,1.0
30,nuclear missiles,158,1,1.0,1.0
31,nuclear deterrent,22,1,1.0,1.0
32,strategic nuclear,130,1,1.0,1.0
33,Arms Reduction Treaty,69,1,1.0,1.0
34,arms race,622,1,1.0,0.0
35,North Korea,272,1,1.0,0.0
36,allies,514,1,1.0,0.0
37,deploy,293,1,1.0,0.0
38,trilateral,62,1,1.0,0.0
39,intermediate range missiles,165,1,1.0,0.0
40,violation,243,1,1.0,0.0
41,bomb,75,1,1.0,0.0
42,retaliation,22,1,1.0,0.0
43,national security,220,1,1.0,0.0
44,stability,152,1,1.0,0.0
45,John Bolton,190,1,1.0,0.0
46,new arms control,24,1,1.0,0.0
47,risk,185,1,1.0,0.0
48,bilateral,88,1,1.0,0.0
49,destruction,131,1,1.0,0.0
50,Mikhail Gorbachev,181,1,1.0,0.0
51,Novaya Zemlya,9,1,1.0,0.0
52,nuclear arms,444,1,1.0,0.0
53,pact,396,1,1.0,0.0
54,US President Donald,54,1,1.0,0.0
55,banned,241,1,1.0,0.0
56,Nuclear Forces INF,179,1,1.0,0.0
57,US nuclear,48,1,1.0,0.0
58,cruise missile,251,1,1.0,0.0
59,United States officials,74,1,1.0,0.0
60,US withdrawal,64,1,1.0,0.0
61,ratified,87,1,1.0,0.0
62,mid range,32,1,1.0,0.0
63,plutonium,24,1,1.0,0.0
64,Forces Treaty INF,62,1,1.0,0.0
65,explosions,34,1,1.0,0.0
66,United States withdrawal,74,1,1.0,0.0
67,foreign ministry,39,1,1.0,0.0
68,arms treaty,70,1,1.0,0.0
69,allegations,65,1,1.0,0.0
70,negotiator,31,1,1.0,0.0
71,new nuclear,136,1,1.0,0.0
72,ground based,121,1,1.0,0.0
73,Russian officials,76,1,1.0,0.0
74,deter,38,1,1.0,0.0
75,ban treaty,34,1,1.0,0.0
76,conflict,110,1,1.0,0.0
77,Forces INF treaty,68,1,1.0,0.0
78,US Russia,48,1,1.0,0.0
79,new weapons,65,1,1.0,0.0
80,Forces INF Treaty,103,1,1.0,0.0
81,Foreign Ministry,51,1,1.0,0.0
82,bombers,59,1,1.0,0.0
83,land based missiles,66,1,1.0,0.0
84,negotiations,258,1,1.0,0.0
85,Intermediate Range Nuclear,361,1,1.0,0.0
86,Nuclear Weapons,92,1,1.0,0.0
87,strategy,91,1,1.0,0.0
88,monitoring stations,7,1,1.0,0.0
89,INF treaty,418,1,1.0,0.0
90,New Start,146,1,1.0,0.0
91,long range nuclear,34,1,1.0,0.0
92,Comprehensive Nuclear Test,37,1,1.0,0.0
93,State Mike Pompeo,102,1,1.0,0.0
94,new arms race,193,1,1.0,0.0
95,demise,110,1,1.0,0.0
96,missile defense,200,1,1.0,0.0
97,missile system,70,1,1.0,0.0
98,low yield nuclear,51,1,1.0,0.0
99,Nuclear Forces Treaty,238,1,1.0,0.0
100,arms control,1333,1,0.0,
101,deterrence,69,1,0.0,
102,nuclear,4989,1,0.0,
103,treaty,3425,1,0.0,
104,arms,2361,1,0.0,
105,range,1090,1,0.0,
106,weapons,2251,1,0.0,
107,missiles,1815,1,0.0,
108,yield,178,1,0.0,
109,missile,1418,1,0.0,
110,disarmament,288,1,0.0,
111,range nuclear,123,1,0.0,
112,warheads,358,1,0.0,
113,war,458,1,0.0,
114,intermediate range,376,1,0.0,
115,Intermediate range Nuclear,95,1,0.0,
116,military,620,1,0.0,
117,deterrent,74,1,0.0,
118,withdrawal,502,1,0.0,
119,strategic,491,1,0.0,
120,long range,87,1,0.0,
121,low yield,111,1,0.0,
122,Cold War era,120,1,0.0,
123,ban,123,1,0.0,
124,range missiles,290,1,0.0,
125,Range Nuclear Forces,357,1,0.0,
126,cold war,61,1,0.0,
127,nuclear tests,60,1,0.0,
128,hypersonic,134,1,0.0,
