,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,pipeline,2852,1,1.0,1.0
1,lobbying,460,1,1.0,1.0
2,oil demand,931,1,1.0,1.0
3,oil industry,1591,1,1.0,1.0
4,Big Oil,436,1,1.0,1.0
5,oil price,1096,1,1.0,1.0
6,fossil fuel industry,485,1,1.0,1.0
7,fuel theft,51,1,1.0,1.0
8,gas prices,602,1,1.0,1.0
9,oil spill,718,1,1.0,1.0
10,oil market,1199,1,1.0,1.0
11,offshore drilling,550,1,1.0,1.0
12,oil producers,1035,1,1.0,1.0
13,tar sands,311,1,1.0,1.0
14,oil fields,421,1,1.0,1.0
15,oil companies,1572,1,1.0,1.0
16,subsidies,265,1,1.0,1.0
17,global oil,1095,1,1.0,1.0
18,fracking permits,82,1,1.0,1.0
19,fossil fuel companies,324,1,1.0,1.0
20,fuel prices,163,1,1.0,1.0
21,refineries,827,1,1.0,1.0
22,oil tankers,423,1,1.0,1.0
23,oil and gas,5041,1,1.0,1.0
24,the JCPOA,58,1,1.0,1.0
25,oil production,2168,1,1.0,1.0
26,petrol,485,1,1.0,0.0
27,Saudi Arabia,5383,1,1.0,0.0
28,United States oil,908,1,1.0,0.0
29,US oil,734,1,1.0,0.0
30,Iranian oil,964,1,1.0,0.0
31,Strait of Hormuz,743,1,1.0,0.0
32,the fossil fuel,568,1,1.0,0.0
33,Arabia and Russia,783,1,1.0,0.0
34,the Persian Gulf,549,1,1.0,0.0
35,Gulf of Mexico,609,1,1.0,0.0
36,the oil industry,715,1,1.0,0.0
37,the spill,467,1,1.0,0.0
38,the Petroleum Exporting,531,1,1.0,0.0
39,the refuge,117,1,1.0,0.0
40,the oil market,598,1,1.0,0.0
41,North Korea,374,1,1.0,0.0
42,demand,5343,1,1.0,0.0
43,production,9332,1,1.0,0.0
44,barrels,6294,1,1.0,0.0
45,cuts,2489,1,1.0,0.0
46,government,4727,1,1.0,0.0
47,companies,6423,1,1.0,0.0
