,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,annexation,1819,1,1.0,1.0
1,anti Israel,584,1,1.0,1.0
2,anti Palestinian,109,1,1.0,1.0
3,Apartheid Israel,104,1,1.0,1.0
4,Arab countries,264,1,1.0,1.0
5,Arab League,161,1,1.0,1.0
6,BDS movement,744,1,1.0,1.0
7,boycott,1391,1,1.0,1.0
8,coalition,896,1,1.0,1.0
9,diplomatic,886,1,1.0,1.0
10,factions,311,1,1.0,1.0
11,fascism,179,1,1.0,1.0
12,Israel lobby,455,1,1.0,1.0
13,Jewish state,951,1,1.0,1.0
14,Joint List,183,1,1.0,1.0
15,occupation,3347,1,1.0,1.0
16,Palestinian state,1068,1,1.0,1.0
17,peace plan,916,1,1.0,1.0
18,pro Israel,1123,1,1.0,1.0
19,sanctions,1445,1,1.0,1.0
20,siege,459,1,1.0,1.0
21,solidarity,913,1,1.0,1.0
22,sovereignty,1078,1,1.0,1.0
23,State of Israel,511,1,1.0,1.0
24,statehood,359,1,1.0,1.0
25,terrorism,1476,1,1.0,1.0
26,the PFLP,66,1,1.0,1.0
27,two state solution,1214,1,1.0,1.0
28,Palestinian Authority,996,1,1.0,1.0
29,Palestine Liberation Organization,340,1,1.0,1.0
30,colonial,856,1,1.0,1.0
31,cooperation,534,1,1.0,0.0
32,relations with Israel,130,1,1.0,0.0
33,resistance,1061,1,1.0,0.0
34,territories,1339,1,1.0,0.0
35,the Zionist,695,1,1.0,0.0
36,ties with Israel,96,1,1.0,0.0
37,occupied West Bank,758,1,1.0,0.0
38,Middle East,3943,1,1.0,0.0
39,terrorist,1833,1,1.0,0.0
40,Ocasio Cortez,822,1,1.0,0.0
41,Saudi Arabia,1602,1,1.0,0.0
42,United Arab Emirates,340,1,1.0,0.0
43,power,3777,1,1.0,0.0
44,terror,1145,1,1.0,0.0
45,soldiers,1444,1,1.0,0.0
46,Ilhan Omar,937,1,1.0,0.0
47,Israel Gaza,186,1,1.0,0.0
48,Bernie Sanders,815,1,1.0,0.0
49,Qassem Soleimani,185,1,1.0,0.0
50,Abu Dhabi,120,1,1.0,0.0
