,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,policing,7919,1,1.0,1.0
1,police reform,1939,1,1.0,1.0
2,law enforcement,14989,1,1.0,1.0
3,police shootings,14,1,1.0,1.0
4,opened fire,101,1,1.0,1.0
5,police violence,2002,1,1.0,1.0
6,misconduct,3614,1,1.0,1.0
7,implicit bias,267,1,1.0,1.0
8,police brutality,4481,1,1.0,1.0
9,resisted,31,1,1.0,1.0
10,deadly force,72,1,1.0,1.0
11,police force,2414,1,1.0,1.0
12,accountability,2523,1,1.0,1.0
13,ultimate sacrifice,9,1,1.0,1.0
14,returned fire,81,1,1.0,1.0
15,unarmed,3455,1,1.0,1.0
16,excited delirium,153,1,1.0,1.0
17,criminal justice,2094,1,1.0,1.0
18,ambushed,26,1,1.0,1.0
19,lethal,1420,1,1.0,1.0
20,qualified immunity,1330,1,1.0,1.0
21,fired back,6,1,1.0,1.0
22,police state,175,1,1.0,1.0
23,police officers,355,1,1.0,1.0
24,on administrative leave,85,1,1.0,1.0
25,line of duty,77,1,1.0,1.0
26,officers involved in,1597,1,1.0,1.0
27,killed by the,12,1,1.0,1.0
28,the death of,4887,1,1.0,1.0
29,the killing of,1535,1,1.0,1.0
30,trust between law,10,1,1.0,1.0
31,shot by police,37,1,1.0,1.0
32,shot and killed,159,1,1.0,1.0
33,was killed,200,1,1.0,1.0
34,was fatally shot,120,1,1.0,1.0
35,the shooting of,33,1,1.0,1.0
36,ran from the,23,1,1.0,1.0
37,fired his weapon,18,1,1.0,1.0
38,in the back,91,1,1.0,1.0
39,fatal shooting of,666,1,1.0,1.0
40,was shot dead,50,1,1.0,1.0
41,cops,192,1,1.0,1.0
42,body camera,62,1,1.0,1.0
43,Rayshard Brooks,224,1,1.0,0.0
44,Breonna Taylor,1861,1,1.0,0.0
45,Van Dyke,31,1,1.0,0.0
46,George Floyd,140,1,1.0,0.0
47,Garrett Rolfe,122,1,1.0,0.0
48,Jacob Blake,362,1,1.0,0.0
49,Derek Chauvin,74,1,1.0,0.0
50,Tomika Miller,41,1,1.0,0.0
51,Damon Gutzwiller,10,1,1.0,0.0
52,J Alexander Kueng,37,1,1.0,0.0
53,Tafahree Maynard,8,1,1.0,0.0
54,Myles Cosgrove,25,1,1.0,0.0
55,Jonathan Mattingly,25,1,1.0,0.0
56,Tou Thao,35,1,1.0,0.0
57,Dion Johnson,25,1,1.0,0.0
58,suspect,561,1,1.0,0.0
59,authorities,180,1,1.0,0.0
60,incident,295,1,1.0,0.0
61,gunman,134,1,1.0,0.0
62,gunfire,111,1,1.0,0.0
63,Atlanta police officer,57,1,1.0,0.0
64,Fulton County,119,1,1.0,0.0
65,trooper,101,1,1.0,0.0
66,parole,79,1,1.0,0.0
67,New Zealand,27,1,1.0,0.0
68,officers Taser,31,1,1.0,0.0
69,black men,33,1,1.0,0.0
70,Baton Rouge Police,15,1,1.0,0.0
71,Fort Worth,23,1,1.0,0.0
72,protests,130,1,1.0,0.0
73,jail,85,1,1.0,0.0
74,assault,222,1,1.0,0.0
75,security guard,16,1,1.0,0.0
76,Paso Robles,27,1,1.0,0.0
77,Bothell Police,9,1,1.0,0.0
78,felony murder,103,1,1.0,0.0
79,New York Police,15,1,1.0,0.0
80,police station,13,1,1.0,0.0
81,police captain,5,1,1.0,0.0
82,Atlanta Police,76,1,1.0,0.0
83,security officer,12,1,1.0,0.0
84,Stewart Trial Attorneys,11,1,1.0,0.0
85,San Marcos,31,1,1.0,
86,Officer Dia,11,1,1.0,
87,Santa Cruz,20,1,1.0,
88,Toledo Police,8,1,1.0,
89,Taylors apartment,15,1,1.0,
90,police officials,7,1,1.0,
91,killer,27,1,1.0,
92,active shooter,11,1,1.0,
93,active shooter,11,1,1.0,
94,law enforcement,214,1,1.0,
95,opened fire,101,1,1.0,
96,body cameras,46,1,1.0,
97,gunshot wounds,31,1,1.0,
98,ambushed,26,1,1.0,
99,police brutality,52,1,1.0,
100,police brutality,52,1,1.0,
101,cop,148,1,1.0,
102,murder,8021,1,1.0,
103,second degree murder,48,1,1.0,
104,aggravated assault,131,1,1.0,
105,attempted murder,75,1,1.0,
106,forfeiture,196,1,1.0,
107,unarmed,64,1,1.0,
108,police shootings,14,1,1.0,
109,Van Dyke,31,1,1.0,
110,police officer,13267,1,1.0,
111,officers Taser,31,1,1.0,
112,George Floyd,140,1,1.0,
113,Garrett Rolfe,122,1,1.0,
114,protests,130,1,1.0,
115,racism,4738,1,1.0,
116,racist,2938,1,1.0,
117,grand jury,1349,1,1.0,
118,aggravated assault,131,1,1.0,
119,resisted,31,1,1.0,
120,Derek Chauvin,74,1,1.0,
121,fatal shooting,70,1,1.0,
122,police department,5847,1,1.0,
123,gunshot wounds,31,1,1.0,
124,deadly force,72,1,1.0,
125,Tomika Miller,41,1,1.0,
126,fire striking,15,1,1.0,
127,Damon Gutzwiller,10,1,1.0,
128,ultimate sacrifice,9,1,1.0,
129,fatal shooting,70,1,1.0,
130,felony murder,103,1,1.0,
131,fire striking,15,1,1.0,
132,fired back,6,1,1.0,
133,abetting second degree,30,1,1.0,
134,body cameras,46,1,1.0,
135,killed,11983,1,1.0,
136,Rayshard Brooks,224,1,0.0,
137,Police Department,262,1,0.0,
138,shootings,72,1,0.0,
139,police officer,504,1,0.0,
140,police department,92,1,0.0,
141,officer,1990,1,0.0,
142,Atlanta police,117,1,0.0,
143,shooting,980,1,0.0,
144,fired,538,1,0.0,
145,murder,511,1,0.0,
146,Baton Rouge,26,1,0.0,
147,fatally shot,172,1,0.0,
148,Fulton County District,56,1,0.0,
149,officer fired,24,1,0.0,
150,Gwinnett County,29,1,0.0,
151,Louis police,19,1,0.0,
152,Rouge Police Department,7,1,0.0,
153,manslaughter,61,1,0.0,
154,opened fire striking,6,1,0.0,
155,Police Officers,20,1,0.0,
156,fatal shootings,7,1,0.0,
157,police,2623,1,0.0,
158,officers,2228,1,0.0,
159,attempted murder,75,1,,
160,second degree murder,48,1,,
161,weapon,3075,1,,
162,policeman,483,1,,
163,J Alexander Kueng,37,1,,
164,criminal charges,1067,1,,
165,Tafahree Maynard,8,1,,
166,torture,281,1,,
167,abetting second degree,30,1,,
168,police station,1104,1,,
169,Myles Cosgrove,25,1,,
170,Jonathan Mattingly,25,1,,
171,Tou Thao,35,1,,
172,returned fire,81,1,,
173,Dion Johnson,25,1,,
174,shot,1258,0,,
175,apartment,126,0,,
176,black,244,0,,
177,door,93,0,,
178,man,623,0,,
179,breaking,51,0,,
180,force,314,0,,
181,family,376,0,,
182,year,547,0,,
183,following,213,0,,
184,charged,357,0,,
185,special,68,0,,
186,car,403,0,,
187,home,255,0,,
188,meet,40,0,,
189,conference,166,0,,
190,department,321,0,,
191,footage,166,0,,
192,shooter,68,0,,
193,men,108,0,,
194,warrant,130,0,,
195,four,226,0,,
196,children,73,0,,
197,two,671,0,,
198,one,588,0,,
199,towards,30,0,,
200,felt,63,0,,
201,gunshot,83,0,,
202,killed,599,0,,
203,matter,60,0,,
204,allegedly,149,0,,
205,condition,107,0,,
206,knife,41,0,,
207,early,109,0,,
208,right,172,0,,
209,years,372,0,,
210,case,223,0,,
211,killing,241,0,,
212,chief,137,0,,
213,husband,75,0,,
214,attorney,171,0,,
215,Wendys drive thru,33,0,,
216,gun,387,0,,
217,involved,221,0,,
218,public,115,0,,
219,striking,70,0,,
220,death,651,0,,
221,restaurant,77,0,,
222,statement,199,0,,
223,large,39,0,,
224,video,284,0,,
225,old,434,0,,
226,miles,54,0,,
227,counts,102,0,,
228,security,46,0,,
229,night,246,0,,
230,stop,154,0,,
231,New Jersey,55,0,,
232,United States,65,0,,
233,charges,342,0,,
234,drive thru,74,0,,
235,service,72,0,,
236,ran,109,0,,
237,time,243,0,,
238,body,197,0,,
239,city,235,0,,
240,federal,58,0,,
241,testify,33,0,,
242,died,349,0,,
243,dad,32,0,,
244,state,140,0,,
245,press,74,0,,
246,riots,18,0,,
247,active,22,0,,
248,degree,141,0,,
249,violence,133,0,,
250,listed,37,0,,
251,duty,177,0,,
252,attack,97,0,,
253,progress,19,0,,
254,wounded,189,0,,
255,New York,118,0,,
256,four children,11,0,,
257,original,13,0,,
258,began,91,0,,
259,seen,153,0,,
260,created,13,0,,
261,drugs,25,0,,
262,called,266,0,,
263,custody,146,0,,
264,gunshot wound,38,0,,
265,district attorney,65,0,,
266,chase,65,0,,
267,support,64,0,,
268,skating,19,0,,
269,prosecutors,85,0,,
270,three,311,0,,
271,engaged,32,0,,
272,black man,91,0,,
273,provide,45,0,,
274,every,76,0,,
275,court,127,0,,
276,failed,82,0,,
277,veteran,150,0,,
278,available,17,0,,
279,officials,129,0,,
280,former,139,0,,
281,dead,213,0,,
282,two gunshot wounds,15,0,,
283,several,138,0,,
284,stole,18,0,,
285,attempted,140,0,,
286,Wendys restaurant,50,0,,
287,outside,169,0,,
288,driver,61,0,,
289,evidence,48,0,,
290,near,110,0,,
291,sources,19,0,,
292,arrest,227,0,,
293,injured,168,0,,
294,arrived,86,0,,
295,drug,89,0,,
296,shoot,56,0,,
297,want,97,0,,
298,lawyer,59,0,,
299,serious,82,0,,
300,numbers,8,0,,
301,boyfriend,21,0,,
302,never,145,0,,
303,times,156,0,,
304,charge,142,0,,
305,need,80,0,,
306,deadly,146,0,,
307,fatal,128,0,,
308,threat,78,0,,
309,away,210,0,,
310,first,218,0,,
311,got,118,0,,
312,County Police,51,0,,
313,late,39,0,,
314,added,108,0,,
315,son,79,0,,
316,sleeping,52,0,,
317,medical,88,0,,
318,episode,6,0,,
319,left,170,0,,
320,police chief,77,0,,
321,struck,107,0,,
322,least,72,0,,
323,station,56,0,,
324,courthouse,21,0,,
325,possession,49,0,,
326,lawyers,41,0,,
327,white,149,0,,
328,camera,95,0,,
329,surgery,51,0,,
330,suffered,75,0,,
331,daughter,55,0,,
332,barricaded,34,0,,
333,eight,92,0,,
334,point,81,0,,
335,mental,37,0,,
336,half,26,0,,
337,domestic,95,0,,
338,drop,16,0,,
339,day,200,0,,
340,brother,67,0,,
341,chance,28,0,,
342,stopped,48,0,,
343,hospital,262,0,,
344,report,174,0,,
345,wounds,54,0,,
346,asked,84,0,,
347,team,80,0,,
348,later,234,0,,
349,deputy,72,0,,
350,guard,29,0,,
351,inside,129,0,,
352,board,17,0,,
353,search warrant,32,0,,
354,search,64,0,,
355,Police Chief,130,0,,
356,fire,334,0,,
357,school,33,0,,
358,four officers,52,0,,
359,criminal,126,0,,
360,used,108,0,,
361,serve,65,0,,
362,stated,27,0,,
363,others,73,0,,
364,deceased,10,0,,
365,mayor,34,0,,
366,training,51,0,,
367,County District Attorney,54,0,,
368,know,121,0,,
369,pleaded,24,0,,
370,asleep,62,0,,
371,families,58,0,,
372,second degree,81,0,,
373,bus,21,0,,
374,including,196,0,,
375,early Sunday,21,0,,
376,moving,40,0,,
377,violent,81,0,,
378,civil,17,0,,
379,adding,51,0,,
380,hands,68,0,,
381,Thomas Lane,40,0,,
382,members,84,0,,
383,former Atlanta police,25,0,,
384,unit,26,0,,
385,five,92,0,,
386,jury,56,0,,
387,justified,70,0,,
388,without,96,0,,
389,eventually,33,0,,
390,second officer,70,0,,
391,someone,93,0,,
392,justice,112,0,,
393,among,40,0,,
394,taken,191,0,,
395,use,148,0,,
396,narcotics,24,0,,
397,investigator,16,0,,
398,weapon,197,0,,
399,birthday,40,0,,
400,St Louis,9,0,,
401,Monday night,22,0,,
402,great,37,0,,
403,morning,130,0,,
404,two men,15,0,,
405,another,205,0,,
406,approached,107,0,,
407,sacrifice,29,0,,
408,injuries,105,0,,
409,well,69,0,,
410,office,115,0,,
