,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,prisoners,12398,1,1.0,1.0
1,inmate,4683,1,1.0,1.0
2,jail,8578,1,1.0,1.0
3,public safety,621,1,1.0,1.0
4,parole,3628,1,1.0,1.0
5,prosecutors,1126,1,1.0,1.0
6,crime,2805,1,1.0,1.0
7,criminals,726,1,1.0,1.0
8,probation,1753,1,1.0,1.0
9,non violent,500,1,1.0,1.0
10,solitary confinement,1458,1,1.0,1.0
11,incarcerated people,839,1,1.0,1.0
12,home confinement,1102,1,1.0,1.0
13,defendants,582,1,1.0,1.0
14,recidivism,496,1,1.0,1.0
15,custody,2167,1,1.0,1.0
16,early release,763,1,1.0,1.0
17,criminal justice reform,625,1,1.0,1.0
18,nonviolent,703,1,1.0,1.0
19,federal prison,1233,1,1.0,1.0
20,human rights,1114,1,1.0,1.0
21,behind bars,1786,1,1.0,1.0
22,felony,617,1,1.0,1.0
23,private prisons,329,1,1.0,1.0
24,jailed,798,1,1.0,1.0
25,convicted,2552,1,1.0,1.0
26,justice system,1176,1,1.0,1.0
27,prison officials,687,1,1.0,1.0
28,voting rights,395,1,1.0,1.0
29,prison population,1063,1,1.0,1.0
30,bail reform,82,1,1.0,1.0
31,prosecution,215,1,1.0,1.0
32,mass incarceration,518,1,1.0,1.0
33,felons,374,1,1.0,1.0
34,incarcerated individuals,166,1,1.0,1.0
35,pose a risk,24,1,1.0,1.0
36,Palm Beach,57,1,1.0,0.0
37,Rikers Island,1007,1,1.0,0.0
38,Great Meadow,53,1,1.0,0.0
39,Washington State,81,1,1.0,0.0
40,Jeffrey Epstein,299,1,1.0,0.0
41,Orange County,142,1,1.0,0.0
42,Terre Haute,81,1,1.0,0.0
43,Sing Sing,108,1,1.0,0.0
44,evidence,1247,1,1.0,0.0
45,Bureau of Prisons,2008,1,1.0,0.0
46,the prisoners,906,1,1.0,0.0
47,the First Step,463,1,1.0,0.0
48,grand jury,114,1,1.0,0.0
49,First Step Act,597,1,1.0,0.0
50,detention,3938,1,1.0,0.0
51,police,2577,1,1.0,0.0
52,victims,1104,1,1.0,0.0
53,violence,2239,1,1.0,0.0
54,prisoner exchange,156,1,1.0,0.0
55,prisoner swap,161,1,1.0,0.0
56,hunger strike,388,1,1.0,0.0
57,detained,1437,1,1.0,0.0
58,government,4572,1,1.0,0.0
59,United States,5548,1,1.0,0.0
60,release,9452,1,1.0,0.0
61,officials,5152,1,1.0,0.0
62,staff,5217,1,1.0,0.0
63,safety,1915,1,1.0,0.0
64,torture,1488,1,1.0,0.0
65,Afghan government,283,1,1.0,0.0
66,bill,1470,1,1.0,0.0
67,cases,4032,1,1.0,0.0
68,community,2041,1,1.0,0.0
69,facility,3836,1,1.0,0.0
70,offenders,2080,1,1.0,0.0
71,war,1036,1,1.0,0.0
72,military,1244,1,1.0,0.0
73,New York City,1115,1,1.0,0.0
74,security,2986,1,1.0,0.0
75,system,5637,1,1.0,0.0
76,Abu Ghraib,157,1,1.0,0.0
77,sex,1172,1,1.0,0.0
78,drug,2172,1,1.0,0.0
79,vote,1258,1,1.0,0.0
80,rights,3243,1,1.0,0.0
81,coalition,233,1,1.0,0.0
82,education,783,1,1.0,0.0
83,death,4097,1,1.0,0.0
84,died,2926,1,1.0,0.0
85,office,1955,1,1.0,0.0
86,children,1914,1,1.0,0.0
87,peace deal,54,1,1.0,0.0
88,authorities,1984,1,1.0,0.0
89,officer,2082,1,1.0,0.0
90,documents,756,1,1.0,0.0
91,cell,2960,1,1.0,0.0
92,extradition,217,1,1.0,0.0
93,peace talks,147,1,1.0,0.0
94,sentence,3946,1,1.0,0.0
95,Correctional Facility,705,1,1.0,0.0
96,freed,799,1,1.0,0.0
97,Julian Assange,171,1,1.0,0.0
98,suicide,1395,1,1.0,0.0
99,mob,69,1,1.0,0.0
100,confirmed,1645,1,1.0,0.0
101,killed,1336,1,1.0,0.0
102,intra Afghan,78,1,1.0,0.0
103,risks,474,1,1.0,0.0
104,mental,1644,1,1.0,0.0
105,murder,1301,1,1.0,0.0
106,terrorist,425,1,1.0,0.0
107,conditions,3760,1,1.0,0.0
108,communist,57,1,1.0,0.0
109,treatment,1856,1,1.0,0.0
