,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,economy,47618,1,1.0,1.0
1,wealth,11745,1,1.0,1.0
2,big business,408,1,1.0,1.0
3,billionaires,2434,1,1.0,1.0
4,small business,4765,1,1.0,1.0
5,austerity,2359,1,1.0,1.0
6,deficit,9532,1,1.0,1.0
7,fiscal,14513,1,1.0,1.0
8,inequality,3486,1,1.0,1.0
9,inflation,11669,1,1.0,1.0
10,national debt,1959,1,1.0,1.0
11,recession,11222,1,1.0,1.0
12,subsidies,3404,1,1.0,1.0
13,taxpayers,6826,1,1.0,1.0
14,working class,1146,1,1.0,1.0
15,working people,651,1,1.0,1.0
16,pension,9087,1,1.0,1.0
17,campaign,35984,1,1.0,0.0
18,budget,34026,1,1.0,0.0
19,market,64460,1,1.0,0.0
20,tax,67946,1,1.0,0.0
21,science,1432,1,1.0,0.0
22,insurance,45971,1,1.0,0.0
23,companies,59275,1,1.0,0.0
24,patients,10610,1,1.0,0.0
25,government,72459,1,1.0,0.0
26,candidates,11460,1,1.0,0.0
27,global,23407,1,1.0,0.0
28,bill,33368,1,1.0,0.0
29,stocks,21659,1,1.0,0.0
30,dollar,15147,1,1.0,0.0
31,spending,46035,1,1.0,0.0
32,economic,41475,1,1.0,0.0
33,shares,20589,1,1.0,0.0
34,business,48043,1,1.0,0.0
35,transfers,1973,1,1.0,0.0
36,workers,25485,1,1.0,0.0
37,firms,17332,1,1.0,0.0
38,gold,5912,1,1.0,0.0
39,technology,9581,1,1.0,0.0
40,revenue,20541,1,1.0,0.0
41,capital,16132,1,1.0,0.0
42,transactions,5030,1,1.0,0.0
43,rates,37606,1,1.0,0.0
44,income,40028,1,1.0,0.0
45,fundraising,5302,1,1.0,0.0
46,institutions,6897,1,1.0,0.0
47,schools,9454,1,1.0,0.0
48,hospital,6806,1,1.0,0.0
49,earnings,12894,1,1.0,0.0
50,tech,9997,1,1.0,0.0
51,relief,12987,1,1.0,0.0
52,index,9386,1,1.0,0.0
53,employer,5221,1,1.0,0.0
54,international,7059,1,1.0,0.0
55,production,6147,1,1.0,0.0
56,wall,8962,1,1.0,0.0
57,aid,10556,1,1.0,0.0
58,industry,20795,1,1.0,0.0
59,college,8355,1,1.0,0.0
60,monetary,5693,1,1.0,0.0
61,payments,23910,1,1.0,0.0
62,finance,13247,1,1.0,0.0
63,price,24439,1,1.0,0.0
64,fund,30062,1,1.0,0.0
65,costs,26452,1,1.0,0.0
66,troops,1076,1,1.0,0.0
67,work,34775,1,1.0,0.0
68,conservative,5470,1,1.0,0.0
69,products,8131,1,1.0,0.0
70,services,20605,1,1.0,0.0
71,sector,11273,1,1.0,0.0
72,New York Stock,1580,1,1.0,0.0
73,indispensable,429,1,1.0,0.0
74,contributions,6172,1,1.0,0.0
75,check,7663,1,1.0,0.0
76,collapse,4577,1,1.0,0.0
77,first quarter,4427,1,1.0,0.0
78,council,2214,1,1.0,0.0
79,bond,8544,1,1.0,0.0
80,lenders,8646,1,1.0,0.0
81,President Donald Trump,6903,1,1.0,0.0
82,annual,12914,1,1.0,0.0
83,investor,7307,1,1.0,0.0
84,premiums,6346,1,1.0,0.0
85,plunged,2436,1,1.0,0.0
86,liberal,2554,1,1.0,0.0
87,projects,6794,1,1.0,0.0
88,Joe Biden,4287,1,1.0,0.0
89,financing,4997,1,1.0,0.0
90,owner,4943,1,1.0,0.0
91,valuation,3202,1,1.0,0.0
