,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,wealth,11745,1,1.0,1.0
1,big business,408,1,1.0,1.0
2,billionaires,2434,1,1.0,1.0
3,small business,4765,1,1.0,1.0
4,deficit,9532,1,1.0,1.0
5,fiscal,14513,1,1.0,1.0
6,inequality,3486,1,1.0,1.0
7,inflation,11669,1,1.0,1.0
8,national debt,1959,1,1.0,1.0
9,recession,11222,1,1.0,1.0
10,subsidies,3404,1,1.0,1.0
11,taxpayers,6826,1,1.0,1.0
12,working class,1146,1,1.0,1.0
13,working people,651,1,1.0,1.0
14,central bank,7193,1,1.0,1.0
15,mandate,3762,1,1.0,1.0
16,stimulus,14702,1,1.0,1.0
17,unemployment,16119,1,1.0,1.0
18,foreign investment,337,1,1.0,1.0
19,health care,30232,1,1.0,1.0
20,health insurance,11695,1,1.0,1.0
21,military spending,920,1,1.0,1.0
22,private insurance,3612,1,1.0,1.0
23,single payer,4918,1,1.0,1.0
24,super PAC,1322,1,1.0,1.0
25,trade war,2818,1,1.0,1.0
26,Federal Reserve,11086,1,1.0,1.0
27,Paycheck Protection Program,2774,1,1.0,1.0
28,Social Security,7962,1,1.0,1.0
29,Belt and Road,291,1,1.0,1.0
30,the Fed,14413,1,1.0,1.0
31,the Pentagon,1882,1,1.0,1.0
32,Medicare for All,9421,1,1.0,1.0
33,the ACA,3627,1,1.0,1.0
34,economy,47618,1,1.0,0.0
35,austerity,2359,1,1.0,0.0
36,campaign,35984,1,1.0,0.0
37,budget,34026,1,1.0,0.0
38,market,64460,1,1.0,0.0
39,tax,67946,1,1.0,0.0
40,science,1432,1,1.0,0.0
41,insurance,45971,1,1.0,0.0
42,companies,59275,1,1.0,0.0
43,patients,10610,1,1.0,0.0
44,government,72459,1,1.0,0.0
45,candidates,11460,1,1.0,0.0
46,global,23407,1,1.0,0.0
47,bill,33368,1,1.0,0.0
48,stocks,21659,1,1.0,0.0
49,dollar,15147,1,1.0,0.0
50,spending,46035,1,1.0,0.0
51,economic,41475,1,1.0,0.0
52,shares,20589,1,1.0,0.0
53,business,48043,1,1.0,0.0
54,transfers,1973,1,1.0,0.0
55,workers,25485,1,1.0,0.0
56,firms,17332,1,1.0,0.0
57,gold,5912,1,1.0,0.0
58,technology,9581,1,1.0,0.0
59,revenue,20541,1,1.0,0.0
60,capital,16132,1,1.0,0.0
61,transactions,5030,1,1.0,0.0
62,rates,37606,1,1.0,0.0
63,income,40028,1,1.0,0.0
64,fundraising,5302,1,1.0,0.0
65,institutions,6897,1,1.0,0.0
66,schools,9454,1,1.0,0.0
67,hospital,6806,1,1.0,0.0
68,earnings,12894,1,1.0,0.0
69,tech,9997,1,1.0,0.0
70,relief,12987,1,1.0,0.0
71,index,9386,1,1.0,0.0
72,employer,5221,1,1.0,0.0
73,international,7059,1,1.0,0.0
74,production,6147,1,1.0,0.0
75,wall,8962,1,1.0,0.0
76,aid,10556,1,1.0,0.0
77,industry,20795,1,1.0,0.0
78,college,8355,1,1.0,0.0
