,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,Donald Trump,26497,1,1.0,1.0
1,Hunter Biden,5742,1,1.0,1.0
2,Robert Mueller,14862,1,1.0,1.0
3,Michael Flynn,7407,1,1.0,1.0
4,dossier,15865,1,1.0,1.0
5,collusion,25644,1,1.0,1.0
6,probe,28167,1,1.0,1.0
7,conspiracy,27590,1,1.0,1.0
8,misinformation,4623,1,1.0,1.0
9,disinformation,10666,1,1.0,1.0
10,gag,819,1,1.0,1.0
11,interference,29785,1,1.0,1.0
12,misleading,4885,1,1.0,1.0
13,obstruction,20736,1,1.0,1.0
14,national security,32487,1,1.0,1.0
15,Deep State,2350,1,1.0,1.0
16,disclosure,3953,1,1.0,1.0
17,diplomatic,10902,1,1.0,1.0
18,Crew Dragon,1354,1,1.0,0.0
19,climate change,10870,1,1.0,0.0
20,capitalist,2947,1,1.0,0.0
21,capitalism,4667,1,1.0,0.0
22,credibility,6204,1,1.0,0.0
23,allies,33748,1,1.0,0.0
24,al Qaeda,2732,1,1.0,0.0
25,United States troops,4761,1,1.0,0.0
26,protest,10697,1,1.0,0.0
27,North Korea,22911,1,1.0,0.0
28,crude,5871,1,1.0,0.0
29,weapons,32251,1,1.0,0.0
30,missile,15195,1,1.0,0.0
31,satellites,2553,1,1.0,0.0
32,criminal justice,2534,1,1.0,0.0
33,right wing,7798,1,1.0,0.0
34,public policy,894,1,1.0,0.0
35,Trump campaign,31628,1,1.0,0.0
36,National Security,12467,1,1.0,0.0
37,behind closed doors,10396,1,1.0,0.0
38,revolutionary,2710,1,1.0,0.0
39,regime change,3905,1,1.0,0.0
40,First Amendment,2257,1,1.0,0.0
41,classification,655,1,1.0,0.0
42,questionable,2042,1,1.0,0.0
43,Counsel Robert Mueller,2605,1,0.0,
44,Special Counsel,8767,1,0.0,
45,foreign,81638,1,0.0,
46,Special Counsel Robert,5381,1,0.0,
47,United States,306255,0,,
48,postponed,50703,0,,
49,offered,17206,0,,
50,allegations,19615,0,,
51,vaccine,9192,0,,
52,kill,9169,0,,
53,troops,27270,0,,
54,know,135055,0,,
55,oil,47536,0,,
56,bounties,2403,0,,
57,epidemic,5064,0,,
58,novel coronavirus outbreak,19800,0,,
59,Trump would,4522,0,,
60,cancelled,25533,0,,
61,control,38162,0,,
62,seriously,8482,0,,
63,case,78129,0,,
64,war,83826,0,,
65,president,206116,0,,
66,prevention,1207,0,,
67,class,17439,0,,
68,election,127689,0,,
69,investigation,119321,0,,
70,outbreak,44281,0,,
71,think,138104,0,,
72,take,94235,0,,
73,South Korea,11712,0,,
74,Mr Trump,16113,0,,
75,campaign,150911,0,,
76,information,80072,0,,
77,impeachment,69175,0,,
78,scheduled,34805,0,,
79,could,177992,0,,
80,workers,21273,0,,
81,expose,3148,0,,
82,military,93758,0,,
83,media,92137,0,,
84,network,13019,0,,
85,cases,47034,0,,
86,countries,65774,0,,
87,international,42842,0,,
88,company,42061,0,,
89,sources,18784,0,,
90,police,36857,0,,
91,data,29786,0,,
92,government,150062,0,,
93,cooperation,10605,0,,
94,vaccines,3045,0,,
95,space,24626,0,,
96,nuclear,55960,0,,
97,health,44538,0,,
98,working class,3447,0,,
99,working,44557,0,,
100,public,97837,0,,
101,World Cup,29372,0,,
102,million,69058,0,,
103,former,131795,0,,
104,year,143718,0,,
105,finds,19190,0,,
106,climate,21846,0,,
107,intelligence,73098,0,,
108,sanctions,37346,0,,
109,social,48554,0,,
110,report,120309,0,,
111,work,78699,0,,
112,season,33280,0,,
113,world,105718,0,,
114,global,39639,0,,
115,Donald Trump,70068,0,,
116,funding,12614,0,,
117,administration,75935,0,,
118,conference,26099,0,,
119,crisis,34119,0,,
120,users,9845,0,,
121,pandemic,34082,0,,
122,prices,13745,0,,
123,officials,93110,0,,
124,summit,17643,0,,
125,economic,40009,0,,
126,right,107030,0,,
127,North Korean,7137,0,,
128,companies,33192,0,,
129,birds,1925,0,,
130,dont,103563,0,,
131,political,121063,0,,
132,means,30567,0,,
133,trial,21991,0,,
134,inquiries,1998,0,,
135,production,15679,0,,
136,get,119418,0,,
137,output,3531,0,,
138,George Floyd,2821,0,,
139,first,171936,0,,
140,place,62022,0,,
141,change,45208,0,,
142,receive,8563,0,,
143,revolution,6209,0,,
144,measures,18308,0,,
145,voters,33492,0,,
146,even,138614,0,,
147,press,35340,0,,
148,meeting,60111,0,,
149,efficacy,599,0,,
150,trials,2883,0,,
151,documentary,3358,0,,
152,state,91074,0,,
153,held,37900,0,,
154,team,69702,0,,
155,Saudi Arabia,19128,0,,
156,final,33217,0,,
157,last,128431,0,,
158,really,64652,0,,
159,one,275392,0,,
160,security,80027,0,,
161,week,80406,0,,
162,articles,10966,0,,
163,billion,28731,0,,
164,two,166073,0,,
165,medical,16445,0,,
166,links,6412,0,,
167,claimed,24627,0,,
168,ballots,5690,0,,
169,cut,17891,0,,
170,Justice Department,30227,0,,
171,special,58196,0,,
172,address,16743,0,,
173,joint,9807,0,,
174,videos,5585,0,,
175,announced,48801,0,,
176,study,12681,0,,
177,neither,7159,0,,
178,market,22046,0,,
179,football,19769,0,,
180,games,21582,0,,
181,pneumonia,1310,0,,
182,presidents,45010,0,,
183,free,33128,0,,
184,power,73843,0,,
185,socialist,6190,0,,
186,federal,47087,0,,
187,players,27020,0,,
188,South Koreas,2232,0,,
189,big picture,749,0,,
190,party,44250,0,,
191,movement,16786,0,,
192,producers,4672,0,,
193,researchers,6685,0,,
194,regime,22713,0,,
195,way,106144,0,,
196,cuts,8785,0,,
197,picture,9070,0,,
198,disease,11570,0,,
199,Joe Biden,21591,0,,
200,mass,15660,0,,
201,want,84132,0,,
202,time,188841,0,,
203,big,40678,0,,
204,Xi Jinping,3222,0,,
205,suspended,16866,0,,
206,economy,32048,0,,
207,Central Asia,876,0,,
208,decided,17106,0,,
209,article,23415,0,,
210,presidential,55613,0,,
211,research,19171,0,,
212,one place,445,0,,
213,evidence,63230,0,,
214,eligible,3561,0,,
215,conversations,10676,0,,
216,hottest,1678,0,,
217,Grand Prix,6405,0,,
218,tech,9544,0,,
219,special counsel,28781,0,,
220,voice,8993,0,,
221,fact,57838,0,,
222,launch,13582,0,,
223,tax,22830,0,,
224,saying,60005,0,,
225,jobs,13799,0,,
226,life,43277,0,,
227,form,18718,0,,
228,ice,6712,0,,
229,court,40882,0,,
230,scientists,8004,0,,
231,deaths,17057,0,,
232,census,1553,0,,
233,might,61630,0,,
234,including,93480,0,,
235,didnt,61892,0,,
236,death,29758,0,,
237,mean,34091,0,,
238,powerful,16242,0,,
239,shared,14849,0,,
240,efforts,37716,0,,
241,Kim Jong,7159,0,,
242,struggle,6102,0,,
243,related,22236,0,,
244,demand,14266,0,,
245,forces,36789,0,,
246,attorney,35923,0,,
247,entertainment,2342,0,,
248,confirmed,28771,0,,
249,treatment,8038,0,,
250,masks,8814,0,,
251,New York,61911,0,,
252,portal,370,0,,
253,man,41712,0,,
254,much,99246,0,,
255,poll,12871,0,,
256,got,53231,0,,
257,group,47942,0,,
258,policy,65192,0,,
259,music,7153,0,,
260,deal,58688,0,,
261,country,113857,0,,
262,President Xi Jinping,1736,0,,
263,community,26657,0,,
264,arms,16386,0,,
265,person,36557,0,,
266,anti,38234,0,,
267,left,57857,0,,
268,national,70181,0,,
269,Donald Trumps,16408,0,,
270,self,25426,0,,
271,statement,51975,0,,
272,happening,12770,0,,
273,wearing,9575,0,,
274,tested,19360,0,,
275,opinion,14083,0,,
276,conservative,18496,0,,
277,South Korean,2894,0,,
278,tournament,13736,0,,
