,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,accusation,810,1,1.0,1.0
1,accused,5095,1,1.0,1.0
2,accuser,649,1,1.0,1.0
3,allegation,2373,1,1.0,1.0
4,alleged,3368,1,1.0,1.0
5,believe,2068,1,1.0,1.0
6,claims,3879,1,1.0,1.0
7,complaint,2775,1,1.0,1.0
8,consent,523,1,1.0,1.0
9,credible,583,1,1.0,1.0
10,defamation,366,1,1.0,1.0
11,due process,577,1,1.0,1.0
12,evidence,1421,1,1.0,1.0
13,groping,426,1,1.0,1.0
14,rape,1409,1,1.0,1.0
15,sexism,269,1,1.0,1.0
16,sexual abuse,501,1,1.0,1.0
17,sexual assault,4280,1,1.0,1.0
18,sexual harassment,8935,1,1.0,1.0
19,sexual misconduct,3157,1,1.0,1.0
20,sexual violence,480,1,1.0,1.0
21,survivors,1095,1,1.0,1.0
22,touching,831,1,1.0,1.0
23,victims,1706,1,1.0,1.0
24,woke,60,1,1.0,1.0
25,kissing,482,1,1.0,1.0
26,telling the truth,160,1,1.0,1.0
27,to get ahead,30,1,1.0,1.0
28,Me Too movement,281,1,1.0,1.0
29,Air Force,185,1,1.0,0.0
30,Brett Kavanaugh,931,1,1.0,0.0
31,Christine Blasey Ford,511,1,1.0,0.0
32,Donald Trump,801,1,1.0,0.0
33,Fort Hood,113,1,1.0,0.0
34,Harvey Weinstein,1419,1,1.0,0.0
35,International Womens Day,26,1,1.0,0.0
36,Joe Biden,1952,1,1.0,0.0
37,Michigan State,94,1,1.0,0.0
38,Tara Reade,1027,1,1.0,0.0
39,Title IX,409,1,1.0,0.0
40,Vanessa Guillen,75,1,1.0,0.0
41,inappropriate,1787,1,1.0,0.0
42,discrimination,1366,1,1.0,0.0
43,women,14681,1,1.0,0.0
44,men,3646,1,1.0,0.0
45,gender,1212,1,1.0,0.0
46,protest,328,1,1.0,0.0
47,sex,2046,1,1.0,0.0
48,lawsuit,2453,1,1.0,0.0
49,students,1120,1,1.0,0.0
50,workplace,2030,1,1.0,0.0
51,companies,600,1,1.0,0.0
52,culture,1812,1,1.0,0.0
53,office,3633,1,1.0,0.0
54,female,2594,1,1.0,0.0
55,woman,3664,1,1.0,0.0
56,New York,3272,1,1.0,0.0
57,male,1343,1,1.0,0.0
58,United States,1329,1,1.0,0.0
59,Supreme Court,1360,1,1.0,0.0
60,sexually,2752,1,1.0,0.0
61,lawmakers,544,1,1.0,0.0
62,vice president,752,1,1.0,0.0
63,diversity,205,1,1.0,0.0
64,university,696,1,1.0,0.0
65,cases,1440,1,1.0,0.0
66,activist,299,1,1.0,0.0
67,criminal,848,1,1.0,0.0
68,bullying,365,1,1.0,0.0
69,activism,108,1,1.0,0.0
70,justice,905,1,1.0,0.0
71,mainstream,239,1,1.0,0.0
72,feminism,130,1,1.0,0.0
73,harm,324,1,1.0,0.0
74,investigation,3526,1,1.0,0.0
75,testimony,664,1,1.0,0.0
76,Justice Kavanaugh,60,1,0.0,
77,harassment,13949,1,0.0,
78,sexual,20713,1,0.0,
79,Mr Biden,296,1,0.0,
80,Ms Reade,240,1,0.0,
81,violence,1281,1,0.0,
82,abuse,2052,1,0.0,
83,assault,6917,1,0.0,
84,allegations,9684,1,0.0,
85,Mr Weinstein,135,1,0.0,
86,Ms Reades,129,1,0.0,
87,complaints,1868,1,0.0,
88,sexual assault sexual,39,1,0.0,
89,alleges,675,1,0.0,
90,sexual harassment sexual,45,1,0.0,
91,Vice President,531,1,0.0,
92,Tara Reades,282,1,0.0,
93,accuse,409,1,0.0,
94,President Donald Trump,291,1,0.0,
95,accusers,1090,1,0.0,
96,sexual assault allegation,203,1,0.0,
97,activists,289,1,0.0,
98,know,3792,0,,
99,company,3153,0,,
100,level,493,0,,
101,former,6500,0,,
102,employees,3244,0,,
103,senior,1013,0,,
104,military,635,0,,
105,think,3046,0,,
106,state,1381,0,,
107,misconduct,4717,0,,
108,remember,1032,0,,
109,media,2566,0,,
110,movement,2368,0,,
111,get,2397,0,,
112,free,452,0,,
113,work,3367,0,,
114,rally,196,0,,
115,team,1234,0,,
116,statement,3661,0,,
117,endorsed,154,0,,
118,campaign,3214,0,,
119,march,75,0,,
120,one,6780,0,,
121,dont,2814,0,,
122,million,1186,0,,
123,less,929,0,,
124,raise,302,0,,
125,academy,146,0,,
126,president,2921,0,,
127,even,2918,0,,
128,saying,2520,0,,
129,network,1053,0,,
130,ahead,269,0,,
131,receive,331,0,,
132,promotion,138,0,,
133,time,5447,0,,
134,schools,500,0,,
135,pictures,147,0,,
136,chance,279,0,,
137,employee,1446,0,,
138,staff,2213,0,,
139,make,2617,0,,
140,addressed,348,0,,
141,report,3744,0,,
142,interview,2114,0,,
143,percentage,80,0,,
144,survey,358,0,,
145,didnt,2546,0,,
146,party,1541,0,,
147,address,833,0,,
148,suite,58,0,,
149,really,1753,0,,
150,settlement,1037,0,,
151,gather,64,0,,
152,firm,853,0,,
153,year,4219,0,,
154,court,1904,0,,
155,public,3397,0,,
156,jobs,392,0,,
157,outside,740,0,,
158,presidential,1456,0,,
159,suit,1281,0,,
160,likely,694,0,,
161,want,2319,0,,
162,change,1435,0,,
163,comment,1551,0,,
164,member,883,0,,
165,entertainment,270,0,,
166,filed,2254,0,,
167,case,3010,0,,
168,conversations,484,0,,
169,right,2320,0,,
170,social,960,0,,
171,training,590,0,,
172,law,1988,0,,
173,opinion,264,0,,
174,asked,2552,0,,
175,opportunities,272,0,,
176,remarks,500,0,,
177,truth,890,0,,
178,legal,1571,0,,
179,photo,442,0,,
180,managers,318,0,,
181,New York Times,1534,0,,
182,happened,1893,0,,
183,claimed,1068,0,,
184,back,2215,0,,
185,forward,3179,0,,
186,claim,1425,0,,
187,often,1101,0,,
188,firms,234,0,,
189,process,1992,0,,
190,board,1050,0,,
191,based,890,0,,
192,conservative,446,0,,
193,happening,441,0,,
194,described,1072,0,,
195,accusations,2802,0,,
196,telling,886,0,,
197,nominee,866,0,,
198,heard,1497,0,,
199,surveyed,60,0,,
200,bill,463,0,,
201,family,805,0,,
202,without,1489,0,,
203,voice,540,0,,
204,show,1699,0,,
205,inside,377,0,,
206,stock,68,0,,
207,charges,1022,0,,
208,letter,1262,0,,
209,attorney,1276,0,,
210,members,1620,0,,
211,hold,620,0,,
212,record,1154,0,,
213,arbitration,484,0,,
214,records,867,0,,
215,video,788,0,,
216,power,1540,0,,
217,must,1048,0,,
218,cant,839,0,,
219,allegedly,1042,0,,
220,industry,826,0,,
221,counter,83,0,,
222,friend,878,0,,
223,standard,637,0,,
224,much,1780,0,,
225,harder,119,0,,
226,political,1627,0,,
227,fact,1199,0,,
228,problem,1133,0,,
229,full,862,0,,
230,made,4867,0,,
231,eligible,123,0,,
232,becoming,185,0,,
233,system,763,0,,
234,response,1236,0,,
235,article,989,0,,
236,Wall Street Journal,100,0,,
237,last,3083,0,,
238,recent,1120,0,,
239,comments,1473,0,,
240,host,1026,0,,
241,provide,597,0,,
242,supporters,438,0,,
243,point,1123,0,,
244,though,1011,0,,
245,today,653,0,,
246,advocates,235,0,,
247,ever,1185,0,,
248,alerts,115,0,,
249,workers,898,0,,
250,colleagues,866,0,,
251,occasions,187,0,,
252,Christmas party,43,0,,
253,cultural,266,0,,
254,Mr Bidens,50,0,,
255,South Korean,36,0,,
256,actress,505,0,,
257,share,542,0,,
258,candidate,820,0,,
259,growing,253,0,,
260,rules,624,0,,
261,might,1140,0,,
262,social media,577,0,,
263,tweet,459,0,,
264,wish,292,0,,
265,data,248,0,,
266,senator,984,0,,
267,audience,257,0,,
268,author,244,0,,
269,lawyer,1140,0,,
270,campaigns,268,0,,
