,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,Big Tech,284,1,1.0,1.0
1,conservative,496,1,1.0,1.0
2,free speech,837,1,1.0,0.0
3,First Amendment,439,1,1.0,0.0
4,big tech,137,1,1.0,1.0
5,fake news,194,1,1.0,1.0
6,freedom of speech,236,1,1.0,1.0
7,tech companies,221,1,1.0,1.0
8,online platforms,83,1,1.0,1.0
9,misinformation,173,1,1.0,1.0
10,hate speech,297,1,1.0,1.0
11,disinformation,132,1,1.0,1.0
12,news organizations,49,1,1.0,1.0
13,independent media,43,1,1.0,1.0
14,Internet freedom,22,1,1.0,1.0
15,bias,149,1,1.0,1.0
16,purge,85,1,1.0,1.0
17,social media giants,59,1,1.0,1.0
18,to censor,337,1,1.0,1.0
19,liability,98,1,1.0,1.0
20,censored content,17,1,1.0,1.0
21,triggered,27,1,1.0,1.0
22,scrubbed,37,1,1.0,0.0
23,Fake News,27,1,1.0,1.0
24,alternative media,41,1,1.0,1.0
25,social media site,21,1,1.0,1.0
26,media networks,25,1,1.0,1.0
27,online censorship,61,1,1.0,1.0
28,content moderation,69,1,1.0,1.0
29,moderators,80,1,1.0,1.0
30,leftist,65,1,1.0,1.0
31,propaganda,206,1,1.0,1.0
32,to control,141,1,1.0,1.0
33,freedom of expression,160,1,1.0,0.0
34,social media companies,133,1,1.0,1.0
35,inauthentic behavior,33,1,1.0,1.0
36,mainstream,163,1,1.0,1.0
37,social media platforms,202,1,1.0,1.0
38,academic,70,1,1.0,0.0
39,activists,292,1,1.0,0.0
40,adult content,15,1,1.0,0.0
41,algorithm,67,1,1.0,0.0
42,Atlantic Council,32,1,1.0,0.0
43,authoritarian,149,1,1.0,0.0
44,authorities,494,1,1.0,0.0
45,ban,383,1,1.0,0.0
46,calls for freedom,14,1,1.0,0.0
47,censored by the,16,1,1.0,0.0
48,Chinese authorities,119,1,1.0,0.0
49,Chinese citizens,71,1,1.0,0.0
50,Chinese social media,50,1,1.0,0.0
51,Communist Party,246,1,1.0,0.0
52,conspiracy,125,1,1.0,0.0
53,controversial,149,1,1.0,0.0
54,correspondents,45,1,1.0,0.0
