,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,free speech,1892,1,1.0,1.0
1,international students,2000,1,1.0,1.0
2,student debt,1640,1,1.0,1.0
3,higher education,4831,1,1.0,1.0
4,diversity,2069,1,1.0,1.0
5,student loan,2004,1,1.0,1.0
6,social justice,362,1,1.0,1.0
7,rich,856,1,1.0,1.0
8,college admissions,1532,1,1.0,1.0
9,sexual assault,945,1,1.0,1.0
10,academic freedom,622,1,1.0,1.0
11,foreign students,571,1,1.0,1.0
12,financial aid,1432,1,1.0,1.0
13,discrimination,1189,1,1.0,1.0
14,wealthy,1057,1,1.0,1.0
15,free college,556,1,1.0,1.0
16,academia,509,1,1.0,1.0
17,tuition free,424,1,1.0,1.0
18,selective,733,1,1.0,1.0
19,sexual misconduct,504,1,1.0,1.0
20,elite colleges,306,1,1.0,1.0
21,inclusion,383,1,1.0,1.0
22,sexual harassment,544,1,1.0,1.0
23,low income,1076,1,1.0,1.0
24,for profit,1101,1,1.0,1.0
25,Campus Reform,285,1,1.0,0.0
26,Chinese students,736,1,1.0,0.0
27,Title IX,779,1,1.0,0.0
28,College Board,756,1,1.0,0.0
29,College Republicans,240,1,1.0,0.0
30,DACA recipients,104,1,1.0,0.0
31,First Amendment,530,1,1.0,0.0
32,the SAT,719,1,1.0,0.0
33,a head start,108,1,1.0,0.0
34,Santa Cruz,136,1,1.0,0.0
35,Fordham University,70,1,1.0,0.0
36,North Carolina,613,1,1.0,0.0
37,Oxford University,108,1,1.0,0.0
38,Notre Dame,193,1,1.0,0.0
39,South Dakota,67,1,1.0,0.0
40,Loyola University,53,1,1.0,0.0
41,La Trobe,55,1,1.0,0.0
42,UK universities,271,1,1.0,0.0
43,San Diego,255,1,1.0,0.0
44,UC Santa Cruz,68,1,1.0,0.0
45,New Orleans,113,1,1.0,0.0
46,Confucius Institutes,259,1,1.0,0.0
47,University of Alabama,95,1,1.0,0.0
48,affirmative action,1292,1,1.0,0.0
49,universities,15505,1,1.0,0.0
50,speech,3952,1,1.0,0.0
51,debt,6015,1,1.0,0.0
52,school,13923,1,1.0,0.0
53,student,19418,1,1.0,0.0
54,research,4761,1,1.0,0.0
55,loan,3684,1,1.0,0.0
