PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
asylum seekers,12620,1,1,1
caravan,7158,1,1,1
deportation,11021,1,1,1
deported,8049,1,1,1
detained,8078,1,1,1
foreign born,786,1,1,1
illegal aliens,3288,1,1,1
illegal immigrants,5111,1,1,1
illegal immigration,4525,1,1,1
immigration policy,3233,1,1,1
immigration status,1672,1,1,1
undocumented immigrants,5963,1,1,1
coyotes,316,1,1,1
migrant,11402,1,1,1
separation,5519,1,1,1
detention center,2196,1,1,1
citizenship question,763,1,1,1
Border Patrol,9635,1,1,0
immigrant rights,1076,1,1,0
legal immigrants,1058,1,1,0
border,67716,1,1,0
H B,2302,1,1,0
administration,32444,1,1,0
parents,19212,1,1,0
family,22791,1,1,0
Hong Kong,602,1,1,0
court,17171,1,1,0
companies,2509,1,1,0
government,28170,1,1,0
security,10478,1,1,0
federal,19688,1,1,0
police,6412,1,1,0
child,9024,1,1,0
legal,19125,1,1,0
military,4649,1,1,0
Silicon Valley,269,1,1,0
regime,867,1,1,0
census,2004,1,1,0
United Nations,1313,1,1,0
law enforcement,4285,1,1,0
camp,2745,1,1,0
dream,920,1,1,0
relief,2043,1,1,0
technology,1090,1,1,0
amnesty,2168,1,1,0
dignity,696,1,1,0
United States immigration,1928,1,1,0
immigration attorney,627,1,1,0
lottery,847,1,1,0
opportunities,2053,1,1,0
authorities,6736,1,1,0
southern border,7027,1,1,0
kids,6300,1,1,0
Donald Trump,7126,1,1,0
qualified,523,1,1,0
facilities,7381,1,1,0
studying,288,1,1,0
shelter,3927,1,1,0
racist,2884,1,1,0
cultural,936,1,1,0
DACA recipients,2062,1,1,0
Palestinian refugees,263,1,1,0
workers,12295,1,1,0
wall,11555,1,1,0
working,7862,1,1,0
violence,8014,1,1,0
workforce,904,1,1,0
war,3917,1,1,0
border security,3370,1,1,0
border wall,3623,1,1,0
displaced,1057,1,1,0
family separation,2651,1,1,0
Illegal Immigrants,178,1,1,0
migration,6180,1,1,0
native born,866,1,1,0
resettlement,1690,1,1,0
Sanctuary Cities,175,1,1,0
young immigrants,698,1,1,0
green card,1980,1,1,0
refugee,8127,1,1,0
separated,8901,1,1,0
United States citizen,1260,1,1,0
human rights,2793,1,1,0
El Paso,5202,1,1,0
deportees,742,1,0,
detainees,5007,1,0,
migrant children,2677,1,0,
immigrant,18320,1,0,
enforcement,10662,1,0,
Homeland Security,9493,1,0,
citizen,3889,1,0,
alien,2308,1,0,
children,48170,1,0,
illegal,21207,1,0,
migrants,30705,1,0,
immigrants,45085,1,0,
refugees,14242,1,0,
immigration,73591,1,0,
families,25137,1,0,
asylum,42100,1,0,
visa,6914,1,0,
visas,5485,1,0,
green,4249,1,0,
undocumented,12107,1,0,
foreign,6843,1,0,
aliens,5683,1,0,
Mr Trump,1524,1,0,
rights,10745,1,0,
illegally,10347,1,0,
human,7174,1,0,
citizens,8729,1,0,
borders,5088,1,0,
H B visas,524,1,0,
camps,3035,1,0,
green cards,1904,1,0,
President Donald Trump,4447,1,0,
dreams,391,1,0,
United States,89273,0,,
doctors,1230,0,,
political,10431,0,,
health,8878,0,,
rule,7050,0,,
medical,6316,0,,
international,4589,0,,
tech,1094,0,,
countries,14239,0,,
information,5984,0,,
climate,1728,0,,
years,20880,0,,
physicians,195,0,,
including,13804,0,,
students,3715,0,,
training,1141,0,,
care,10631,0,,
support,10630,0,,
cases,11606,0,,
program,13539,0,,
