,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,socialism,5093,1,1.0,1.0
1,socialist,6045,1,1.0,1.0
2,Nicolas Maduro,6389,1,1.0,1.0
3,humanitarian,4796,1,1.0,1.0
4,democracy,6925,1,1.0,1.0
5,regime change,3163,1,1.0,1.0
6,Juan Guaido,5033,1,1.0,1.0
7,capitalism,1843,1,1.0,1.0
8,intervention,3208,1,1.0,1.0
9,United States sanctions,1267,1,1.0,1.0
10,revolution,2075,1,1.0,1.0
11,propaganda,1924,1,1.0,1.0
12,cartels,603,1,1.0,1.0
13,opposition leader,2802,1,1.0,1.0
14,US backed,777,1,1.0,1.0
15,corruption,3794,1,1.0,1.0
16,interim president,2090,1,1.0,1.0
17,communist,1240,1,1.0,1.0
18,solidarity,1052,1,1.0,1.0
19,international cooperation,91,1,1.0,1.0
20,trafficking,1558,1,1.0,1.0
21,imperialism,858,1,1.0,1.0
22,diplomats,1545,1,1.0,1.0
23,imperial,827,1,1.0,1.0
24,violence,5544,1,1.0,1.0
25,maximum pressure,403,1,1.0,1.0
26,Mucarsel Powell,80,1,1.0,1.0
27,coup attempt,812,1,1.0,1.0
28,referendum,726,1,1.0,1.0
29,Jose Gregorio,58,1,1.0,1.0
30,the IMF,779,1,1.0,1.0
31,authoritative,304,1,1.0,0.0
32,oil,19210,1,1.0,0.0
33,United States government,2021,1,1.0,0.0
34,White Helmets,218,1,1.0,0.0
35,Latin America,4276,1,1.0,0.0
36,embassy,2365,1,1.0,0.0
37,administrations,3419,1,1.0,0.0
38,Latino voters,340,1,1.0,0.0
39,unilateral,540,1,1.0,0.0
40,sanctions,14908,1,1.0,0.0
41,military,22665,1,1.0,0.0
42,human rights,4911,1,1.0,0.0
43,cooperation,1294,1,1.0,0.0
44,foreign policy,5098,1,1.0,0.0
45,US sanctions,1148,1,1.0,0.0
46,Wasserman Schultz,87,1,1.0,0.0
47,refugees,1957,1,1.0,0.0
48,asylum seekers,984,1,1.0,0.0
49,National Assembly,2233,1,1.0,0.0
50,leader Juan Guaido,1964,1,0.0,
51,international,10406,1,0.0,
52,coup,7196,1,0.0,
53,regime,10339,1,0.0,
54,asylum,3413,1,0.0,
55,Mr Bolton,277,1,0.0,
56,Mr Maduro,801,1,0.0,
57,President Nicolas Maduro,3458,1,0.0,
58,International Airport,641,1,0.0,
59,crisis,11478,1,0.0,
60,debt,2571,1,0.0,
61,finds,14379,0,,
62,United States,67066,0,,
63,virus,4644,0,,
64,war,16514,0,,
65,countries,18908,0,,
66,know,17897,0,,
67,think,18358,0,,
68,government,37535,0,,
69,cases,7353,0,,
70,epidemic,934,0,,
71,election,12075,0,,
72,voters,5297,0,,
73,campaign,12263,0,,
74,medical,4609,0,,
75,opposition,13661,0,,
76,pandemic,6140,0,,
77,president,29173,0,,
78,administration,15818,0,,
79,world,19490,0,,
80,vaccine,957,0,,
81,candidates,3808,0,,
82,year,24370,0,,
83,media,12587,0,,
84,policy,14464,0,,
85,mask,1795,0,,
86,get,16196,0,,
87,human,9819,0,,
88,vote,6770,0,,
89,political,19396,0,,
90,ship,2327,0,,
91,illustration,2184,0,,
92,officials,11217,0,,
93,economic,14631,0,,
94,global,8144,0,,
95,health,9755,0,,
96,deaths,3563,0,,
97,dont,14893,0,,
98,team,4856,0,,
99,Mr Trump,1417,0,,
100,even,20552,0,,
101,really,8769,0,,
102,experts,2090,0,,
103,school,3585,0,,
104,among,7610,0,,
105,skull,1953,0,,
106,trump,525,0,,
107,presidential,7227,0,,
108,state,18356,0,,
109,company,5671,0,,
110,million,15999,0,,
111,right,18601,0,,
112,PRESIDENT DONALD TRUMP,981,0,,
113,found,11235,0,,
114,food,7220,0,,
115,rights,9076,0,,
116,country,28132,0,,
117,hundred,746,0,,
118,rating,534,0,,
119,foreign,13610,0,,
120,nuclear,5667,0,,
121,guilty,1047,0,,
122,border,9438,0,,
123,home,9039,0,,
124,masks,2887,0,,
125,cocaine,1122,0,,
126,free,7382,0,,
127,companies,5454,0,,
128,voting,2143,0,,
129,thousand,646,0,,
130,last,18956,0,,
131,leader,10487,0,,
132,coach,832,0,,
133,want,12629,0,,
134,imperialist,925,0,,
135,capitalist,1296,0,,
136,time,23869,0,,
137,class,4261,0,,
138,legal,3900,0,,
139,aid,6312,0,,
140,police,7714,0,,
141,one,39003,0,,
142,points,3163,0,,
143,community,4342,0,,
144,support,15449,0,,
145,shared,1583,0,,
146,former,13441,0,,
147,polls,1748,0,,
148,week,10763,0,,
149,fight,4317,0,,
150,power,15950,0,,
151,crude,1868,0,,
152,statement,5388,0,,
153,picture,1177,0,,
154,wars,3112,0,,
155,production,3902,0,,
156,social,8744,0,,
157,family,6790,0,,
158,World Cup,670,0,,
159,change,10689,0,,
160,artists,2377,0,,
161,prices,4243,0,,
162,dinosaur,1448,0,,
163,assistance,1599,0,,
164,drug,3915,0,,
165,dive,148,0,,
166,immigration,4558,0,,
167,shelter,814,0,,
168,Joe Biden,2410,0,,
