,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
0,al Baghdadi,164,1,1.0,1.0
1,Al Islah,58,1,1.0,1.0
2,Al Saud,174,1,1.0,1.0
3,arms embargo,242,1,1.0,1.0
4,arms sales,2109,1,1.0,1.0
5,ceasefire,1550,1,1.0,1.0
6,child soldiers,203,1,1.0,1.0
7,coup,1252,1,1.0,1.0
8,grand strategy,74,1,1.0,1.0
9,hostage,476,1,1.0,1.0
10,Houthi movement,272,1,1.0,1.0
11,Houthi rebels,2449,1,1.0,1.0
12,humanitarian crisis,1863,1,1.0,1.0
13,maximum pressure,664,1,1.0,1.0
14,mercenaries,375,1,1.0,1.0
15,Mohammed bin Salman,2297,1,1.0,1.0
16,sanctions on Iran,543,1,1.0,1.0
17,Saudi backed government,225,1,1.0,1.0
18,Saudi coalition,827,1,1.0,1.0
19,Saudi led coalition,2431,1,1.0,1.0
20,separatists,440,1,1.0,1.0
21,Special Operations,305,1,1.0,1.0
22,terrorist,3737,1,1.0,1.0
23,the Houthis,4039,1,1.0,1.0
24,the IRGC,346,1,1.0,1.0
25,the JCPOA,725,1,1.0,1.0
26,the Yemeni,1372,1,1.0,1.0
27,war on Yemen,678,1,1.0,1.0
28,foreign policy,5581,1,1.0,1.0
29,human rights,4389,1,1.0,1.0
30,terrorism,3432,1,1.0,1.0
31,Al Qaeda,1153,1,1.0,0.0
32,al Qaeda,2161,1,1.0,0.0
33,al Qaida,806,1,1.0,0.0
34,Islamic State,1764,1,1.0,0.0
35,Qassem Soleimani,547,1,1.0,0.0
36,Qassem Suleimani,140,1,1.0,0.0
37,Quds Force,635,1,1.0,0.0
38,the Iranian regime,502,1,1.0,0.0
39,in Sanaa,560,1,1.0,0.0
40,Iran aligned Houthi,156,1,1.0,0.0
41,migrants,1302,1,1.0,0.0
42,nuclear deal,2797,1,1.0,0.0
43,peace,5611,1,1.0,0.0
44,propaganda,1180,1,1.0,0.0
45,strike,3859,1,1.0,0.0
46,the Middle East,6804,1,1.0,0.0
47,the Pentagon,2138,1,1.0,0.0
48,the regime,1208,1,1.0,0.0
49,travel ban,1552,1,1.0,0.0
50,United Arab Emirates,2596,1,1.0,0.0
51,World Bank,300,1,1.0,0.0
52,Arms Trade,165,1,0.0,
53,capital Sanaa,786,1,0.0,
54,embargo,542,1,0.0,
55,hostages,234,1,0.0,
56,humanitarian,6023,1,0.0,
57,sanctions on,1629,1,0.0,
58,Saudi Arabia,21129,1,0.0,
59,Saudi led,4458,1,0.0,
60,terrorists,1658,1,0.0,
61,the capital Sanaa,535,1,0.0,
62,the ceasefire,252,1,0.0,
63,the Saudi coalition,497,1,0.0,
64,the Saudis,5218,1,0.0,
